"","W1","Count"
"207","wurden",1428
"208","ihm",1427
"209","weiß",1422
"210","endlich",1418
"211","natürlich",1415
"212","zurück",1402
"213","allerdings",1397
"214","nie",1393
"215","liebe",1393
"216","ihrer",1392
"217","vielen",1385
"218","allem",1376
"219","frau",1371
"220","seinen",1370
"221","bitte",1358
"222","allen",1355
"223","wegen",1354
"224","leider",1352
"225","gemacht",1346
"226","lange",1343
"227","hast",1342
"228","frage",1329
"229","sieht",1317
"230","deutschen",1315
"231","meiner",1303
"232","richtig",1303
"233","worden",1287
"234","erste",1277
"235","sagen",1267
"236","genau",1267
"237","hatten",1266
"238","etwa",1247
"239","paar",1240
"240","dank",1233
"241","zwar",1225
"242","jemand",1215
"243","meinen",1211
"244","wochenende",1202
"245","wenig",1196
"246","sogar",1192
"247","schnell",1191
"248","seinem",1190
"249","gerne",1172
"250","letzten",1171
"251","klar",1160
"252","keinen",1152
"253","geben",1149
"254","oh",1147
"255","na",1145
"256","tun",1145
"257","rund",1137
"258","is",1135
"259","sollen",1129
"260","unsere",1124
"261","leute",1124
"262","diesen",1124
"263","the",1122
"264","gestern",1119
"265","meinem",1117
"266","stadt",1115
"267","dies",1113
"268","arbeit",1111
"269","nacht",1106
"270","davon",1102
"271","ihnen",1097
"272","geld",1096
"273","millionen",1086
"274","nein",1084
"275","wollte",1082
"276","fall",1068
"277","mann",1067
"278","während",1066
"279","jeder",1065
"280","gab",1063
"281","konnte",1041
"282","los",1035
"283","bekommen",1032
"284","kinder",1031
"285","tage",1029
"286","beiden",1025
"287","bist",1024
"288","stehen",1020
"289","eher",1012
"290","seien",1009
"291","recht",1006
"292","20",1002
"293","später",1002
"294","kaum",1000
"295","großen",999
"296","denen",999
"297","wochen",994
"298","spaß",985
"299","echt",982
"300","wissen",981
"301","darauf",970
"302","liegt",969
"303","kurz",963
"304","jedoch",962
"305","sicher",959
"306","nächsten",947
"307","super",945
"308","darf",944
"309","land",939
"310","twitter",937
"311","weniger",937
"312","gewesen",934
"313","eben",927
"314","große",925
"315","deutsche",924
"316","einige",921
"317","sonst",920
"318","möchte",919
"319","5",913
"320","stunden",912
"321","zusammen",902
"322","4",899
"323","jeden",896
"324","laut",891
"325","teil",891
"326","spiel",888
"327","thema",887
"328","hin",886
"329","vier",885
"330","lässt",885
"331","minuten",884
"332","milliarden",881
"333","heißt",879
"334","ihrem",869
"335","weitere",865
"336","sowie",865
"337","kam",861
"338","bleibt",858
"339","freitag",858
"340","essen",857
"341","finden",855
"342","bald",853
"343","irgendwie",853
"344","2011",851
"345","oft",850
"346","deshalb",845
"347","10",840
"348","gehört",839
"349","eigenen",836
"350","anders",833
"351","vergangenen",830
"352","ganze",829
"353","besonders",826
"354","grad",821
"355","unternehmen",819
"356","buch",814
"357","bisher",805
"358","sonntag",804
"359","nen",803
"360","statt",798
"361","welche",796
"362","trotzdem",792
"363","würden",789
"364","neben",789
"365","lieber",785
"366","gesehen",783
"367","frauen",783
"368","montag",779
"369","hätten",779
"370","sollten",778
"371","kleine",777
"372","seite",775
"373","neues",772
"374","arbeiten",769
"375","platz",769
"376","a",766
"377","musste",765
"378","fragen",765
"379","finde",762
"380","nehmen",762
"381","ach",757
"382","mag",755
"383","ging",748
"384","zudem",742
"385","30",741
"386","darüber",738
"387","deutlich",737
"388","hause",733
"389","glück",730
"390","scheint",730
"391","vorbei",729
"392","s",728
"393","p",724
"394","fünf",720
"395","lesen",719
"396","wünsche",713
"397","läuft",712
"398","gesagt",711
"399","folgen",708
"400","überhaupt",706
"401","nächste",705
"402","kleinen",704
"403","besten",700
"404","bild",698
"405","regierung",698
"406","internet",695
"407","voll",692
"408","cdu",687
"409","problem",686
"410","wann",685
"411","bleiben",685
"412","möglich",683
"413","letzte",682
"414","glaube",681
"415","nix",680
"416","unser",679
"417","schönen",676
"418","damals",676
"419","stellen",676
"420","allein",675
"421","danach",673
"422","derzeit",673
"423","halten",671
"424","google",670
"425","bisschen",668
"426","daran",668
"427","zehn",666
"428","15",663
"429","spielen",661
"430","übrigens",660
"431","findet",660
"432","halt",658
"433","dollar",657
"434","deine",656
"435","online",656
"436","geschichte",653
"437","samstag",651
"438","stand",650
"439","manchmal",649
"440","ganzen",649
"441","gern",644
"442","hinter",644
"443","direkt",639
"444","100",637
"445","genug",636
"446","geworden",634
"447","beispiel",634
"448","toll",630
"449","hamburg",629
"450","ebenfalls",627
"451","hoffe",623
"452","polizei",622
"453","je",621
"454","haus",621
"455","gilt",620
"456","facebook",619
"457","idee",617
"458","kopf",617
"459","2010",616
"460","weit",615
"461","fest",614
"462","tagen",614
"463","usa",613
"464","langsam",611
"465","fertig",611
"466","deren",610
"467","film",609
"468","lang",602
"469","braucht",601
"470","wetter",597
"471","europa",597
"472","erfolg",596
"473","sonne",596
"474","bett",595
"475","bestimmt",595
"476","0",594
"477","anfang",594
"478","schreiben",593
"479","trotz",591
"480","art",590
"481","raus",589
"482","nachdem",586
"483","ok",585
"484","außerdem",584
"485","zumindest",580
"486","politik",580
"487","blick",578
"488","alten",578
"489","aller",575
"490","treffen",575
"491","schwer",573
"492","daher",573
"493","zweiten",572
"494","zeigt",571
"495","daß",571
"496","könnten",571
"497","zukunft",570
"498","sofort",570
"499","solche",570
"500","neu",568
"501","obwohl",567
"502","50",567
"503","spd",565
"504","hoch",565
"505","grund",563
"506","früher",562
"507","beide",560
"508","musik",559
"509","alte",559
"510","schließlich",558
"511","fahren",557
"512","vergessen",556
"513","tatsächlich",554
"514","of",554
"515","dagegen",553
"516","stimmt",552
"517","unserer",552
"518","schlecht",552
"519","zunächst",552
"520","insgesamt",550
"521","probleme",545
"522","mittwoch",543
"523","kaufen",542
"524","münchen",541
"525","liegen",539
"526","xd",539
"527","schönes",538
"528","kaffee",536
"529","per",536
"530","jede",535
"531","stunde",535
"532","bringen",534
"533","schöne",533
"534","auto",533
"535","donnerstag",532
"536","gegenüber",532
"537","laufen",531
"538","gefunden",531
"539","dienstag",529
"540","freuen",528
"541","pro",527
"542","gespannt",527
"543","meisten",527
"544","naja",523
"545","hält",523
"546","6",521
"547","frei",521
"548","dein",519
"549","familie",516
"550","kind",516
"551","partei",516
"552","bevor",516
"553","hand",514
"554","11",510
"555","banken",509
"556","ziemlich",508
"557","kannst",507
"558","wichtig",507
"559","wasser",505
"560","hallo",505
"561","wieso",502
"562","groß",502
"563","männer",502
"564","angst",500
"565","warten",500
"566","o",497
"567","beste",497
"568","sechs",497
"569","stark",496
"570","namen",495
"571","bekannt",493
"572","bekommt",493
"573","leicht",493
"574","dessen",493
"575","geht's",492
"576","bringt",491
"577","könne",490
"578","november",488
"579","eltern",487
"580","erstmal",486
"581","früh",485
"582","bilder",484
"583","suche",484
"584","2012",483
"585","inzwischen",483
"586","mach",482
"587","her",482
"588","merkel",482
"589","dachte",481
"590","fdp",481
"591","to",481
"592","dinge",480
"593","grünen",479
"594","all",479
"595","bank",478
"596","urlaub",477
"597","drauf",476
"598","knapp",476
"599","stelle",475
"600","augen",474
"601","8",474
"602","köln",473
"603","mutter",473
"604","zuletzt",471
"605","erklärt",470
"606","keiner",469
"607","gott",468
"608","nochmal",467
"609","sowas",466
"610","richtung",466
"611","gibts",465
"612","schlafen",465
"613","egal",462
"614","junge",462
"615","7",461
"616","gegeben",460
"617","tut",459
"618","n",456
"619","zuvor",456
"620","erhalten",456
"621","denken",455
"622","habt",455
"623","september",455
"624","dürfen",455
"625","griechenland",454
"626","angaben",453
"627","alter",452
"628","18",452
"629","hören",451
"630","start",450
"631","schule",450
"632","neuer",450
"633","monaten",450
"634","zeigen",450
"635","freu",449
"636","iphone",449
"637","hoffentlich",449
"638","ebenso",449
"639","kunden",448
"640","eigene",446
"641","bislang",446
"642","schauen",445
"643","sommer",445
"644","freue",444
"645","gehts",443
"646","dennoch",443
"647","folge",442
"648","passiert",442
"649","fürs",442
"650","fand",441
"651","niemand",440
"652","kennt",440
"653","jedem",439
"654","zeitung",439
"655","denke",437
"656","fällt",437
"657","klasse",435
"658","zahlen",432
"659","team",432
"660","jedes",432
"661","cool",431
"662","schade",430
"663","herr",429
"664","erklärte",429
"665","oben",427
"666","wert",427
"667","gekommen",427
"668","ergebnis",427
"669","völlig",426
"670","mensch",425
"671","bayern",425
"672","seiten",424
"673","bahn",424
"674","erwartet",423
"675","mehrere",422
"676","lieben",422
"677","verloren",422
"678","40",421
"679","lernen",421
"680","14",420
"681","hilfe",420
"682","new",420
"683","sache",418
"684","europäischen",418
"685","grüße",416
"686","moment",416
"687","spielt",414
"688","führen",414
"689","jungen",414
"690","ort",414
"691","entscheidung",414
"692","einzige",413
"693","wort",413
"694","kosten",413
"695","kommenden",412
"696","suchen",411
"697","berliner",411
"698","alt",410
"699","stellt",409
"700","apple",409
"701","2009",408
"702","ziel",408
"703","funktioniert",407
"704","helfen",405
"705","zweite",405
"706","17",405
"707","glaub",404
"708","brauchen",404
"709","beginnt",404
"710","nämlich",404
"711","oktober",404
"712","total",403
"713","markt",403
"714","vorher",402
"715","#ff",402
"716","straße",402
"717","lust",401
"718","jahres",400
"719","freunde",400
"720","anderem",400
"721","gebracht",399
"722","mittlerweile",399
"723","einigen",398
"724","staaten",398
"725","dürfte",397
"726","versucht",396
"727","kollegen",396
"728","eh",396
"729","klingt",396
"730","16",396
"731","müsse",396
"732","immerhin",395
"733","unterwegs",393
"734","12",393
"735","rein",392
"736","nimmt",391
"737","antwort",390
"738","guter",390
"739","gutes",389
"740","nich",389
"741","gefühl",389
"742","weiterhin",389
"743","anderes",388
"744","gesellschaft",388
"745","glückwunsch",388
"746","13",388
"747","entwicklung",387
"748","gefällt",386
"749","acht",386
"750","komme",386
"751","wenigstens",385
"752","mindestens",385
"753","offenbar",385
"754","weiteren",384
"755","fehler",383
"756","unseren",383
"757","sorgen",383
"758","u",383
"759","dran",382
"760","freut",381
"761","sachen",381
"762","de",381
"763","zug",380
"764","gemeinsam",378
"765","sehe",377
"766","rolle",377
"767","länger",377
"768","wahl",377
"769","eure",377
"770","mitte",376
"771","wahrscheinlich",376
"772","bzw",376
"773","tolle",376
"774","frankfurt",376
"775","nutzen",375
"776","blog",375
"777","i",375
"778","wünschen",375
"779","fotos",371
"780","gibt's",370
"781","darum",370
"782","wohnung",370
"783","fans",370
"784","runde",369
"785","china",369
"786","wären",368
"787","mache",368
"788","punkte",368
"789","schreibt",368
"790","meinung",367
"791","irgendwann",366
"792","gelesen",366
"793","büro",366
"794","gruppe",366
"795","mitarbeiter",365
"796","gehe",365
"797","9",365
"798","reden",364
"799","gedanken",364
"800","chance",363
"801","25",363
"802","machte",363
"803","glauben",362
"804","hört",362
"805","preis",362
"806","hm",360
"807","passt",360
"808","thomas",359
"809","form",358
"810","eins",357
"811","gefallen",357
"812","schaffen",356
"813","heut",356
"814","gebe",355
"815","sitzen",354
"816","sieben",354
"817","sprechen",352
"818","geh",351
"819","bier",351
"820","tages",351
"821","stück",351
"822","konnten",351
"823","gedacht",350
"824","medien",350
"825","manche",349
"826","19",349
"827","geil",348
"828","and",347
"829","geschrieben",346
"830","mai",346
"831","m",345
"832","titel",345
"833","spricht",344
"834","weise",344
"835","bürger",344
"836","präsident",343
"837","müsste",342
"838","live",341
"839","unbedingt",341
"840","lage",341
"841","geschafft",339
"842","einsatz",339
"843","führt",338
"844","michael",338
"845","märz",338
"846","setzen",338
"847","gewinnen",337
"848","peter",336
"849","trainer",336
"850","seid",335
"851","daten",334
"852","mannschaft",332
"853","überall",331
"854","falsch",331
"855","saison",331
"856","interesse",330
"857","draußen",330
"858","fehlt",330
"859","verstehen",329
"860","okay",329
"861","herz",329
"862","dezember",329
"863","selber",328
"864","monate",328
"865","zahl",327
"866","falls",327
"867","projekt",326
"868","programm",326
"869","tweets",325
"870","ziehen",325
"871","tod",324
"872","erreicht",324
"873","hieß",324
"874","großer",323
"875","lösung",323
"876","genauso",322
"877","meist",322
"878","japan",322
"879","länder",322
"880","ca",321
"881","ernst",321
"882","sitzt",321
"883","informationen",321
"884","wollten",320
"885","druck",320
"886","plötzlich",319
"887","kennen",319
"888","alleine",318
"889","rede",318
"890","erzählt",318
"891","geburtstag",318
"892","freude",317
"893","21",317
"894","juli",317
"895","besuch",317
"896","dadurch",317
"897","interessant",315
"898","fc",314
"899","offen",313
"900","seines",313
"901","meter",313
"902","dritten",313
"903","genommen",312
"904","raum",312
"905","schritt",312
"906","staat",312
"907","krise",312
"908","sag",311
"909","august",311
"910","licht",311
"911","ließ",311
"912","gucken",310
"913","vater",310
"914","freund",309
"915","komm",309
"916","netz",309
"917","reicht",309
"918","sicherheit",307
"919","eu",307
"920","hälfte",306
"921","möglichkeit",306
"922","gleichzeitig",306
"923","wirtschaft",306
"924","2008",306
"925","könnt",305
"926","durchaus",305
"927","längst",305
"928","gewonnen",304
"929","artikel",304
"930","22",304
"931","vermutlich",303
"932","innerhalb",303
"933","darin",303
"934","unserem",302
"935","entscheiden",301
"936","folgt",300
"937","wenige",300
"938","vergleich",300
"939","kritik",300
"940","politischen",300
"941","diesmal",299
"942","hey",299
"943","spät",299
"944","sieg",299
"945","lass",299
"946","kamen",299
"947","beginn",299
"948","gekauft",298
"949","aufs",298
"950","social",297
"951","freundin",297
"952","hannover",297
"953","italien",297
"954","jedenfalls",296
"955","personen",296
"956","dr",295
"957","hilft",294
"958","sicht",294
"959","monat",294
"960","spieler",294
"961","hohen",294
"962","tragen",293
"963","kraft",293
"964","sah",293
"965","herbst",292
"966","gehabt",292
"967","juni",292
"968","situation",292
"969","zufolge",291
"970","erneut",290
"971","mädchen",290
"972","erster",290
"973","b",290
"974","sucht",290
"975","drin",290
"976","lag",290
"977","landes",290
"978","erfolgreich",289
"979","erreichen",289
"980","ähnlich",288
"981","you",288
"982","tweet",288
"983","for",288
"984","handy",287
"985","bereit",287
"986","winter",287
"987","frankreich",287
"988","deswegen",287
"989","zeiten",286
"990","ideen",285
"991","größten",285
"992","willkommen",284
"993","stimme",284
"994","lecker",283
"995","band",283
"996","bietet",283
"997","nee",283
"998","politische",282
"999","fragt",281
"1000","stuttgart",281
"1001","weder",281
"1002","sprecher",281
"1003","regen",280
"1004","angebot",280
"1005","g",280
"1006","gespräch",280
"1007","aktuellen",279
"1008","meint",278
"1009","gestellt",278
"1010","berichtet",278
"1011","rest",278
"1012","fenster",277
"1013","yeah",277
"1014","60",277
"1015","setzt",277
"1016","menge",275
"1017","sitze",275
"1018","tor",275
"1019","ruhe",275
"1020","verlassen",275
"1021","unterstützung",275
"1022","rum",274
"1023","bedeutet",274
"1024","april",274
"1025","gesicht",274
"1026","wobei",273
"1027","tür",273
"1028","feierabend",272
"1029","c",272
"1030","januar",272
"1031","ihres",272
"1032","erklären",271
"1033","media",270
"1034","richtige",270
"1035","außer",270
"1036","chef",270
"1037","minute",270
"1038","bürgermeister",270
"1039","politiker",270
"1040","gefahr",270
"1041","job",269
"1042","plan",269
"1043","entschieden",269
"1044","kampf",268
"1045","app",268
"1046","mail",268
"1047","künftig",268
"1048","brauche",267
"1049","24",267
"1050","willst",266
"1051","aufgrund",266
"1052","system",266
"1053","mehrheit",266
"1054","trinken",265
"1055","on",265
"1056","kilometer",264
"1057","hinaus",264
"1058","herzlichen",263
"1059","post",263
"1060","kenne",263
"1061","krieg",263
"1062","laden",262
"1063","weihnachten",262
"1064","lustig",262
"1065","schneller",262
"1066","kalt",262
"1067","angesichts",262
"1068","spiegel",261
"1069","z.b",261
"1070","werbung",261
"1071","kindern",261
"1072","erkennen",261
"1073","angekommen",261
"1074","bücher",261
"1075","nähe",260
"1076","23",260
"1077","vorstellen",260
"1078","internationalen",259
"1079","denkt",259
"1080","foto",259
"1081","irgendwo",258
"1082","tv",258
"1083","tat",258
"1084","müssten",258
"1085","wolle",258
"1086","gehören",257
"1087","welches",257
"1088","reihe",256
"1089","gefragt",256
"1090","themen",255
"1091","links",255
"1092","linke",255
"1093","selten",254
"1094","zieht",254
"1095","boden",254
"1096","bericht",254
"1097","fährt",254
"1098","meinte",254
"1099","anderer",253
"1100","beispielsweise",253
"1101","schöner",252
"1102","stimmen",252
"1103","bereich",252
"1104","heutigen",252
"1105","komplett",252
"1106","gäste",252
"1107","000",252
"1108","luft",251
"1109","größte",251
"1110","kleiner",251
"1111","verdient",251
"1112","fallen",251
"1113","mussten",251
"1114","party",251
"1115","experten",251
"1116","körper",251
"1117","nett",250
"1118","besteht",250
"1119","versuchen",250
"1120","scheiße",250
"1121","wär",249
"1122","solange",249
"1123","wach",249
"1124","solchen",249
"1125","ahnung",249
"1126","sowohl",248
"1127","werd",248
"1128","worte",248
"1129","it",248
"1130","via",248
"1131","höhe",248
"1132","nachmittag",248
"1133","hoffnung",248
"1134","gegangen",247
"1135","gespielt",247
"1136","müde",247
"1137","verfügung",247
"1138","ländern",246
"1139","deinen",246
"1140","tipp",246
"1141","hohe",246
"1142","düsseldorf",245
"1143","diskussion",245
"1144","opfer",245
"1145","trifft",244
"1146","somit",244
"1147","morgens",244
"1148","ändern",244
"1149","spiele",243
"1150","erstmals",243
"1151","union",243
"1152","amerikanischen",243
"1153","froh",242
"1154","neun",242
"1155","jobs",241
"1156","punkt",241
"1157","200",241
"1158","versuch",240
"1159","we",240
"1160","sorry",239
"1161","glücklich",239
"1162","wusste",239
"1163","mitglieder",239
"1164","zeichen",238
"1165","zufrieden",237
"1166","plus",237
"1167","tochter",237
"1168","ständig",237
"1169","entwickelt",237
"1170","uni",236
"1171","freiheit",236
"1172","sinn",236
"1173","großes",236
"1174","bieten",235
"1175","h",235
"1176","video",235
"1177","lediglich",235
"1178","wenigen",235
"1179","sprach",235
"1180","getan",234
"1181","satz",234
"1182","80",234
"1183","blieb",234
"1184","europäische",234
"1185","letzter",233
"1186","parteien",233
"1187","februar",233
"1188","bad",233
"1189","tisch",233
"1190","gezeigt",233
"1191","min",233
"1192","linken",233
"1193","bundesregierung",233
"1194","geplant",232
"1195","schaut",232
"1196","90",232
"1197","stimmung",232
"1198","sport",232
"1199","heraus",232
"1200","voller",231
"1201","hoffen",231
"1202","gericht",231
"1203","nächstes",230
"1204","erwarten",230
"1205","welcher",230
"1206","empfehlen",230
"1207","reise",230
"1208","aktuell",230
"1209","entdeckt",230
"1210","york",230
"1211","dpa",230
"1212","abends",229
"1213","erinnert",229
"1214","kirche",229
"1215","wirkt",229
"1216","zuhause",229
"1217","demokratie",229
"1218","gleichen",229
"1219","fernsehen",228
"1220","krank",228
"1221","musst",227
"1222","lebt",227
"1223","himmel",227
"1224","schlimm",226
"1225","pause",226
"1226","nennt",226
"1227","region",226
"1228","darunter",226
"1229","betonte",226
"1230","kunst",225
"1231","person",225
"1232","find",225
"1233","grade",224
"1234","kostet",224
"1235","gründen",224
"1236","fühlt",224
"1237","meines",224
"1238","gleiche",224
"1239","rahmen",224
"1240","geführt",224
"1241","weltweit",223
"1242","klein",223
"1243","wolfgang",223
"1244","interessiert",222
"1245","follower",222
"1246","feiern",222
"1247","twittern",221
"1248","schluss",221
"1249","führung",220
"1250","bevölkerung",220
"1251","gewalt",220
"1252","sohn",219
"1253","spannend",219
"1254","leser",219
"1255","bewegung",219
"1256","tollen",218
"1257","unten",218
"1258","mist",217
"1259","interview",217
"1260","langen",217
"1261","schüler",217
"1262","ipad",217
"1263","israel",217
"1264","verschiedenen",217
"1265","london",217
"1266","zeigte",217
"1267","wichtige",216
"1268","telefon",216
"1269","gelernt",216
"1270","absolut",215
"1271","rücken",215
"1272","ezb",215
"1273","eindruck",215
"1274","firma",215
"1275","vertrauen",215
"1276","handelt",215
"1277","glaubt",215
"1278","verein",215
"1279","ansonsten",214
"1280","hasse",214
"1281","dortmund",214
"1282","nummer",214
"1283","reichen",214
"1284","aufgabe",214
"1285","halb",213
"1286","muß",213
"1287","kleines",213
"1288","st",213
"1289","martin",213
"1290","wünscht",212
"1291","jeweils",212
"1292","erde",212
"1293","schau",212
"1294","hotel",212
"1295","dringend",212
"1296","entfernt",212
"1297","hinzu",212
"1298","verstanden",211
"1299","holen",211
"1300","lachen",211
"1301","einzelnen",211
"1302","vortrag",210
"1303","fühle",210
"1304","wahr",210
"1305","karten",210
"1306","2013",210
"1307","haha",209
"1308","erfahren",209
"1309","liste",209
"1310","grüne",209
"1311","hund",209
"1312","partner",209
"1313","verkauft",209
"1314","bühne",209
"1315","dahin",208
"1316","text",208
"1317","bekomme",207
"1318","entweder",207
"1319","langweilig",207
"1320","ergebnisse",207
"1321","hinweis",207
"1322","angeblich",207
"1323","genannt",207
"1324","berichten",207
"1325","arbeitet",206
"1326","melden",206
"1327","qualität",206
"1328","persönlich",206
"1329","müller",206
"1330","fußball",206
"1331","nem",205
"1332","500",205
"1333","happy",205
"1334","gefahren",205
"1335","teilte",205
"1336","verlieren",204
"1337","aachen",204
"1338","positiv",204
"1339","hingegen",204
"1340","termin",204
"1341","herzen",204
"1342","einiges",203
"1343","unglaublich",203
"1344","stolz",203
"1345","christian",203
"1346","schlaf",203
"1347","nennen",203
"1348","volk",203
"1349","nahe",203
"1350","zugleich",203
"1351","teilweise",202
"1352","richtigen",202
"1353","verdammt",202
"1354","publikum",202
"1355","warm",202
"1356","bus",202
"1357","schulden",202
"1358","momentan",201
"1359","beginnen",201
"1360","deinem",201
"1361","ministerpräsident",201
"1362","verpasst",200
"1363","bestellt",200
"1364","angela",200
"1365","heißen",200
"1366","lohnt",200
"1367","hintergrund",200
"1368","hamburger",199
"1369","schicken",199
"1370","brauch",199
"1371","extrem",199
"1372","infos",199
"1373","zuerst",199
"1374","überzeugt",199
"1375","ding",199
"1376","indem",199
"1377","spanien",199
"1378","hängt",198
"1379","aktion",198
"1380","leuten",198
"1381","gespräche",198
"1382","nahm",198
"1383","fehlen",197
"1384","lese",197
"1385","erfahrung",197
"1386","besucher",197
"1387","ans",197
"1388","nötig",197
"1389","strom",197
"1390","studie",196
"1391","zuschauer",196
"1392","energie",196
"1393","deutscher",196
"1394","anschließend",196
"1395","häufig",196
"1396","fiel",196
"1397","stellte",196
"1398","schuld",195
"1399","name",195
"1400","doof",195
"1401","böse",195
"1402","starke",195
"1403","trägt",195
"1404","garten",195
"1405","wow",194
"1406","sendung",194
"1407","link",194
"1408","anleger",194
"1409","27",194
"1410","verhindern",194
"1411","unterschied",194
"1412","bundestag",194
"1413","tot",193
"1414","weiss",193
"1415","kaputt",193
"1416","debatte",193
"1417","vergangenheit",193
"1418","getroffen",193
"1419","veranstaltung",193
"1420","niemals",193
"1421","solle",193
"1422","behörden",193
"1423","deutsch",192
"1424","mittel",192
"1425","beendet",192
"1426","zusammenhang",192
"1427","öffentlichkeit",192
"1428","staatsanleihen",192
"1429","berichtete",192
"1430","vereinigten",192
"1431","sprache",191
"1432","verkaufen",191
"1433","konzert",191
"1434","demnächst",191
"1435","serie",191
"1436","traurig",190
"1437","hart",190
"1438","täglich",190
"1439","stets",189
"1440","version",189
"1441","klappt",189
"1442","legen",189
"1443","stärker",189
"1444","gesetzt",189
"1445","fordert",189
"1446","autos",189
"1447","möglichkeiten",189
"1448","tolles",188
"1449","gewählt",188
"1450","beschäftigt",188
"1451","interessante",188
"1452","tief",188
"1453","erstes",188
"1454","unterstützt",188
"1455","kultur",187
"1456","offensichtlich",187
"1457","stehe",187
"1458","koalition",187
"1459","obama",187
"1460","opposition",187
"1461","bessere",186
"1462","ruhig",186
"1463","gesucht",186
"1464","warte",186
"1465","ehrlich",186
"1466","produkte",186
"1467","karte",186
"1468","halle",186
"1469","kauf",186
"1470","begeistert",186
"1471","punkten",186
"1472","vertrag",185
"1473","tiere",185
"1474","aktiv",185
"1475","not",185
"1476","nachrichten",185
"1477","gesamte",185
"1478","bedeutung",185
"1479","haut",185
"1480","bewusst",185
"1481","ohnehin",185
"1482","teuer",184
"1483","rechts",184
"1484","piraten",184
"1485","antworten",184
"1486","halte",184
"1487","amt",184
"1488","demnach",184
"1489","irgendwas",183
"1490","aktien",183
"1491","schlimmer",183
"1492","auftritt",183
"1493","#piraten",183
"1494","normal",183
"1495","wunsch",183
