"","W1","W2","W3","Count"
"187","kann","ich","mir",62
"188","in","der","letzten",62
"189","gibt","es","nicht",62
"190","in","den","ersten",62
"191","für","den","hinweis",61
"192","auf","der","welt",61
"193","dass","ich","nicht",61
"194","gott","sei","dank",60
"195","ab","und","zu",60
"196","ich","kann","nicht",60
"197","es","um","die",60
"198","ich","habe","die",60
"199","auf","diese","weise",59
"200","ich","nicht","mehr",59
"201","gibt","es","in",59
"202","auf","die","frage",59
"203","ist","nicht","nur",59
"204","ich","mich","nicht",59
"205","kann","ich","nicht",59
"206","im","zusammenhang","mit",59
"207","der","in","der",59
"208","es","für","die",58
"209","den","ersten","blick",58
"210","der","anderen","seite",58
"211","den","letzten","jahren",58
"212","alles","gute","zum",58
"213","in","der","vergangenheit",58
"214","ist","auch","nicht",58
"215","da","hab","ich",58
"216","es","nicht","mehr",58
"217","in","der","zeit",58
"218","hab","ich","mich",58
"219","auf","keinen","fall",58
"220","dann","auch","noch",58
"221","das","habe","ich",58
"222","an","alle","die",58
"223","dann","bin","ich",58
"224","in","die","neue",58
"225","dass","sie","sich",58
"226","das","nächste","mal",58
"227","aber","ich","habe",58
"228","zu","tun","haben",58
"229","von","der","leyen",58
"230","der","vergangenen","woche",58
"231","ich","bin","ja",57
"232","vielen","dank","an",57
"233","dass","er","sich",57
"234","ich","fühle","mich",57
"235","im","kommenden","jahr",57
"236","nicht","nur","in",56
"237","ich","bin","auch",56
"238","dem","weg","zur",56
"239","ich","bin","gespannt",56
"240","wenn","es","um",56
"241","von","bis","zu",56
"242","kann","ich","mich",56
"243","das","ist","aber",56
"244","wie","kann","man",56
"245","rund","um","die",56
"246","was","soll","ich",56
"247","es","in","den",56
"248","ist","für","die",56
"249","die","in","den",55
"250","was","ist","mit",55
"251","was","hast","du",55
"252","im","rahmen","der",55
"253","ich","mich","auch",55
"254","noch","nicht","mal",55
"255","gibt","es","noch",55
"256","nicht","mehr","in",55
"257","alles","andere","als",55
"258","dann","kann","ich",55
"259","für","den","tipp",55
"260","in","jedem","fall",55
"261","im","laufe","der",55
"262","viel","zu","tun",55
"263","auch","bei","der",55
"264","im","alter","von",55
"265","in","dieser","woche",55
"266","sich","mit","dem",55
"267","noch","ein","wenig",55
"268","euch","allen","einen",54
"269","in","die","stadt",54
"270","nicht","so","viel",54
"271","in","erster","linie",54
"272","in","die","hand",54
"273","man","kann","sich",54
"274","kurz","vor","dem",54
"275","es","gibt","auch",54
"276","und","mit","dem",54
"277","auf","den","markt",54
"278","in","dieser","saison",54
"279","darauf","hin","dass",54
"280","freut","sich","auf",53
"281","dann","ist","es",53
"282","haben","wir","uns",53
"283","hin","und","her",53
"284","lange","nicht","mehr",53
"285","ein","paar","tage",53
"286","ist","das","denn",53
"287","an","der","spitze",53
"288","in","der","welt",53
"289","noch","nicht","so",53
"290","und","ich","dachte",53
"291","auf","die","straße",53
"292","in","letzter","zeit",53
"293","nicht","mehr","zu",53
"294","kurz","vor","der",53
"295","vor","ein","paar",53
"296","die","tatsache","dass",53
"297","nicht","mehr","als",52
"298","dass","ich","mich",52
"299","habe","ich","schon",52
"300","wir","wünschen","allen",52
"301","das","kann","ich",52
"302","freue","ich","mich",52
"303","am","ende","der",52
"304","ich","in","der",52
"305","im","nächsten","jahr",52
"306","die","deutsche","bank",52
"307","nach","eigenen","angaben",52
"308","bin","ich","ja",51
"309","hab","ich","mir",51
"310","ich","liebe","dich",51
"311","viel","spaß","beim",51
"312","wenn","ich","nicht",51
"313","nach","und","nach",51
"314","ist","immer","noch",51
"315","an","diesem","tag",51
"316","gibt","es","keine",51
"317","gibt","es","eigentlich",51
"318","die","frage","ob",51
"319","so","etwas","wie",51
"320","angela","merkel","cdu",51
"321","viel","spaß","und",50
"322","danke","fürs","folgen",50
"323","ich","mir","das",50
"324","mitten","in","der",50
"325","wünsche","euch","einen",50
"326","in","der","bahn",50
"327","kann","man","auch",50
"328","für","alle","die",50
"329","sich","für","die",50
"330","aber","nicht","nur",50
"331","das","mit","den",49
"332","haben","sich","die",49
"333","auf","die","idee",49
"334","am","ende","des",49
"335","wir","wünschen","euch",49
"336","aber","noch","nicht",49
"337","in","meinem","leben",49
"338","das","leben","ist",49
"339","die","neue","woche",49
"340","jetzt","muss","ich",49
"341","das","ist","so",49
"342","sich","um","eine",49
"343","und","es","gibt",49
"344","ich","glaube","dass",49
"345","die","frage","ist",49
"346","dass","ich","das",49
"347","es","ist","die",49
"348","hat","sich","der",49
"349","am","mittwoch","in",49
"350","das","hab","ich",48
"351","ja","das","ist",48
"352","jetzt","hab","ich",48
"353","hat","sich","das",48
"354","freu","mich","auf",48
"355","nicht","mit","dem",48
"356","mehr","oder","weniger",48
"357","zeit","in","der",48
"358","noch","ein","bisschen",48
"359","vor","der","tür",48
"360","sich","auf","den",48
"361","mal","sehen","wie",48
"362","die","suche","nach",48
"363","wie","wäre","es",48
"364","im","laufe","des",48
"365","in","der","mitte",48
"366","der","europäischen","zentralbank",48
"367","nicht","nur","das",47
"368","ich","mich","auf",47
"369","muss","ich","mir",47
"370","da","habe","ich",47
"371","in","der","eu",47
"372","allen","einen","schönen",47
"373","ich","kann","mich",47
"374","unter","anderem","die",47
"375","der","nacht","zum",47
"376","im","kampf","gegen",47
"377","ich","bin","schon",47
"378","hab","ich","schon",47
"379","in","der","die",47
"380","zu","tun","hat",47
"381","die","europäische","zentralbank",47
"382","der","europäischen","union",47
"383","mehr","als","die",47
"384","ich","hab","mich",46
"385","in","den","tag",46
"386","gute","zum","geburtstag",46
"387","art","und","weise",46
"388","das","mit","der",46
"389","das","kann","man",46
"390","in","der","schweiz",46
"391","in","der","öffentlichkeit",46
"392","nur","noch","ein",46
"393","wenn","ich","mich",46
"394","aber","ich","hab",46
"395","auch","wenn","die",46
"396","aber","es","gibt",46
"397","mich","schon","auf",46
"398","in","dem","die",46
"399","aus","dem","fenster",46
"400","so","wie","es",46
"401","ist","dass","die",46
"402","am","montag","in",46
"403","den","vergangenen","wochen",46
"404","der","deutschen","bank",46
"405","sich","auch","die",46
"406","die","sich","in",45
"407","ich","frage","mich",45
"408","ich","habe","den",45
"409","und","wenn","ich",45
"410","nicht","auf","die",45
"411","guten","morgen","liebe",45
"412","es","ist","so",45
"413","mich","auf","die",45
"414","dass","sie","nicht",45
"415","dank","für","den",45
"416","ist","ja","nicht",45
"417","auch","mal","wieder",45
"418","tut","mir","leid",45
"419","wenn","ich","die",45
"420","gut","dass","ich",45
"421","sich","mit","der",45
"422","ist","nicht","mehr",45
"423","es","gibt","keine",45
"424","kann","man","das",45
"425","in","bezug","auf",45
"426","bis","hin","zu",45
"427","sich","über","die",45
"428","in","einem","interview",45
"429","unter","berufung","auf",45
"430","ich","habe","das",44
"431","ich","mir","auch",44
"432","ich","bin","jetzt",44
"433","danke","für","das",44
"434","wünsche","euch","allen",44
"435","was","machst","du",44
"436","habe","ich","das",44
"437","nicht","nur","für",44
"438","habe","ich","noch",44
"439","habe","ich","die",44
"440","jetzt","ist","es",44
"441","uhr","in","der",44
"442","mal","sehen","ob",44
"443","auch","noch","nicht",44
"444","schon","gar","nicht",44
"445","und","dann","noch",44
"446","danke","an","alle",44
"447","so","ist","das",44
"448","mehr","als","ein",44
"449","eine","oder","andere",44
"450","den","vergangenen","monaten",44
"451","ich","auch","noch",43
"452","dem","weg","zu",43
"453","den","nächsten","tagen",43
"454","gibt","es","die",43
"455","in","dieser","zeit",43
"456","ich","bin","der",43
"457","ich","will","auch",43
"458","nicht","nur","ein",43
"459","die","sonne","scheint",43
"460","ich","kann","mir",43
"461","auch","wenn","sie",43
"462","es","handelt","sich",43
"463","meiner","meinung","nach",43
"464","wenn","ich","es",43
"465","es","geht","nicht",43
"466","dass","es","nicht",43
"467","wenn","sie","sich",43
"468","ich","ja","auch",43
"469","auch","gar","nicht",43
"470","ja","auch","noch",43
"471","sondern","auch","die",43
"472","nach","angaben","von",43
"473","ist","es","auch",42
"474","einen","guten","morgen",42
"475","so","wie","ich",42
"476","es","gibt","noch",42
"477","für","die","zukunft",42
"478","ich","in","den",42
"479","in","der","küche",42
"480","wieder","in","der",42
"481","gibt","es","nur",42
"482","und","ich","kann",42
"483","ich","habe","mir",42
"484","allen","ein","schönes",42
"485","kann","ich","nur",42
"486","hab","ich","das",42
"487","da","kann","ich",42
"488","ich","auch","schon",42
"489","ist","für","mich",42
"490","und","dann","ist",42
"491","er","in","der",42
"492","um","mehr","als",42
"493","im","dritten","quartal",42
"494","nur","in","der",41
"495","ich","wünsche","allen",41
"496","das","letzte","mal",41
"497","bei","dem","wetter",41
"498","bei","uns","im",41
"499","start","in","den",41
"500","auch","noch","ein",41
"501","nicht","mehr","auf",41
"502","und","viel","spaß",41
"503","in","der","wohnung",41
"504","so","aus","als",41
"505","freue","mich","schon",41
"506","nicht","auf","den",41
"507","ich","hoffe","dass",41
"508","da","hast","du",41
"509","es","mit","dem",41
"510","und","auch","nicht",41
"511","nichts","zu","tun",41
"512","in","diesem","sinne",41
"513","dann","muss","ich",41
"514","mit","der","zeit",41
"515","und","ein","paar",41
"516","wie","sich","die",41
"517","da","muss","ich",41
"518","und","auf","die",41
"519","dann","hab","ich",41
"520","dass","ich","die",41
"521","in","der","hauptstadt",41
"522","der","vorsitzende","der",41
"523","hast","du","denn",40
"524","am","nächsten","tag",40
"525","ich","glaube","nicht",40
"526","bei","mir","auch",40
"527","wieder","zu","hause",40
"528","mal","ein","paar",40
"529","die","frage","wie",40
"530","in","der","neuen",40
"531","wie","ich","das",40
"532","eine","gute","nacht",40
"533","gibt","es","bei",40
"534","man","in","der",40
"535","auch","noch","die",40
"536","ich","liebe","es",40
"537","es","gibt","ein",40
"538","auch","auf","die",40
"539","habe","ich","es",40
"540","kann","man","ja",40
"541","das","ist","schon",40
"542","ich","mir","die",40
"543","nur","noch","die",40
"544","sind","in","der",40
"545","mit","dem","neuen",40
"546","ich","kann","es",40
"547","sie","in","den",40
"548","im","bereich","der",40
"549","wenn","man","nicht",39
"550","wenn","man","den",39
"551","in","der","türkei",39
"552","bin","ich","aber",39
"553","auf","der","autobahn",39
"554","es","nicht","so",39
"555","noch","nicht","ganz",39
"556","es","ist","auch",39
"557","ich","will","nicht",39
"558","doch","gar","nicht",39
"559","noch","lange","nicht",39
"560","für","ein","paar",39
"561","die","frage","nach",39
"562","wer","von","euch",39
"563","jetzt","habe","ich",39
"564","kampf","gegen","die",39
"565","euch","einen","schönen",39
"566","mit","dem","auto",39
"567","aber","immer","noch",39
"568","ich","bin","mir",39
"569","ein","paar","wochen",39
"570","vor","allem","auf",39
"571","das","ende","der",39
"572","an","der","uni",39
"573","wird","in","der",39
"574","ich","es","nicht",39
"575","und","wir","haben",38
"576","in","ein","paar",38
"577","kann","man","die",38
"578","es","mit","der",38
"579","dass","wir","uns",38
"580","ich","würde","mich",38
"581","kann","es","sein",38
"582","gehört","zu","den",38
"583","zu","sein","und",38
"584","guten","morgen","aus",38
"585","in","den","griff",38
"586","zu","beginn","der",38
"587","jetzt","geht","es",38
"588","und","nicht","nur",38
"589","wieder","in","die",38
"590","in","der","politik",38
"591","für","mich","ist",38
"592","vor","allem","der",38
"593","suche","nach","einem",38
"594","ein","halbes","jahr",38
"595","sich","bei","der",38
"596","der","chef","der",38
"597","der","nachrichtenagentur","dpa",38
"598","new","york","times",38
"599","ich","habe","keine",37
"600","ich","hoffe","das",37
"601","auch","schon","mal",37
"602","aus","diesem","grund",37
"603","schon","lange","nicht",37
"604","und","ich","muss",37
"605","ich","finde","das",37
"606","vor","zehn","jahren",37
"607","mal","schauen","was",37
"608","ich","auch","mal",37
"609","ich","geh","jetzt",37
"610","nicht","so","einfach",37
"611","ja","ich","bin",37
"612","mal","in","die",37
"613","heute","habe","ich",37
"614","und","immer","wieder",37
"615","hier","gibt","es",37
"616","ja","gar","nicht",37
"617","es","auch","nicht",37
"618","sieht","gut","aus",37
"619","und","mit","der",37
"620","ich","hab","die",37
"621","wie","zum","beispiel",37
"622","es","sei","denn",37
"623","ich","dir","auch",37
"624","das","was","ich",37
"625","zu","beginn","des",37
"626","sich","auf","dem",37
"627","das","ist","kein",37
"628","die","kosten","für",37
"629","auf","dem","platz",37
"630","noch","nicht","einmal",37
"631","ist","aber","nicht",37
"632","wir","sehen","uns",37
"633","als","auch","die",37
"634","in","den","augen",37
"635","es","nur","noch",37
"636","und","bei","der",37
"637","am","dienstag","in",37
"638","am","donnerstag","in",37
"639","hieß","es","in",37
"640","allen","einen","guten",36
"641","ab","und","an",36
"642","immer","wenn","ich",36
"643","um","die","ecke",36
"644","hier","in","der",36
"645","gab","es","in",36
"646","sie","nicht","mehr",36
"647","nicht","dass","ich",36
"648","in","diesen","tagen",36
"649","ist","nicht","so",36
"650","das","in","der",36
"651","bin","ich","froh",36
"652","ich","noch","nie",36
"653","ist","wenn","man",36
"654","so","viel","wie",36
"655","auf","dem","programm",36
"656","gibt","es","ein",36
"657","in","die","runde",36
"658","mehr","und","mehr",36
"659","der","ganzen","welt",36
"660","so","schnell","wie",36
"661","in","der","praxis",36
"662","in","der","nächsten",36
"663","hat","sich","in",36
"664","auf","dem","tisch",36
"665","bin","ich","noch",36
"666","wie","geht","es",36
"667","ich","habe","gerade",36
"668","hab","ich","ja",36
"669","in","berlin","und",36
"670","aber","nicht","so",36
"671","beim","nächsten","mal",36
"672","hab","ich","noch",36
"673","und","wenn","man",36
"674","in","der","sonne",36
"675","dann","gibt","es",36
"676","es","war","ein",36
"677","auch","in","deutschland",36
"678","vor","einigen","jahren",36
"679","die","menschen","in",36
"680","nicht","nur","der",36
"681","für","den","fall",36
"682","und","mit","einem",36
"683","nur","noch","eine",36
"684","dass","es","in",36
"685","in","der","geschichte",36
"686","mehr","als","eine",36
"687","in","die","woche",35
"688","geht","es","los",35
"689","mehr","als","nur",35
"690","wenn","ich","das",35
"691","da","ist","es",35
"692","aber","auch","ein",35
"693","für","die","nächsten",35
"694","tag","an","dem",35
"695","und","ein","schönes",35
"696","wenn","ich","mir",35
"697","vor","sich","hin",35
"698","in","die","schule",35
"699","es","gibt","einen",35
"700","die","für","die",35
"701","ich","habe","noch",35
"702","hatte","ich","auch",35
"703","so","ist","es",35
"704","ich","weiß","es",35
"705","nicht","auf","dem",35
"706","das","einzige","was",35
"707","auf","der","seite",35
"708","jetzt","auch","noch",35
"709","das","team","von",35
"710","es","sich","bei",35
"711","auch","mit","der",35
"712","auch","nicht","die",35
"713","wie","in","den",35
"714","nur","ein","paar",35
"715","ich","mit","dem",35
"716","am","freitag","in",35
"717","in","der","bundesliga",35
"718","heute","in","der",35
"719","vor","zwei","jahren",35
"720","aus","den","usa",35
"721","aus","dem","jahr",35
"722","um","20","uhr",35
"723","den","vergangenen","tagen",35
"724","und","einen","schönen",34
"725","dann","habe","ich",34
"726","ist","ja","schon",34
"727","auf","der","arbeit",34
"728","ich","finde","die",34
"729","ich","nicht","so",34
"730","dank","an","alle",34
"731","ist","einer","der",34
"732","kann","ich","auch",34
"733","hin","und","wieder",34
"734","was","macht","ihr",34
"735","und","es","war",34
"736","es","ist","ja",34
"737","aber","in","der",34
"738","freu","ich","mich",34
"739","guten","morgen","ihr",34
"740","geht","es","in",34
"741","und","damit","auch",34
"742","ein","oder","andere",34
"743","die","letzten","tage",34
"744","aber","ich","glaube",34
"745","ich","hab","das",34
"746","wenn","sich","die",34
"747","auf","den","kopf",34
"748","in","meinem","kopf",34
"749","das","gefühl","dass",34
"750","kann","man","nur",34
"751","den","nächsten","jahren",34
"752","es","noch","nicht",34
"753","wie","ich","es",34
"754","es","war","der",34
"755","auf","den","punkt",34
"756","mit","dem","thema",34
"757","sich","in","einer",34
"758","bis","in","die",34
"759","sich","für","den",34
"760","sich","vor","allem",34
"761","bin","ich","auch",33
"762","freut","sich","über",33
"763","in","meiner","timeline",33
"764","was","soll","das",33
"765","in","der","ddr",33
"766","jemand","von","euch",33
"767","muss","ich","mich",33
"768","nach","dem","motto",33
"769","ich","hasse","es",33
"770","auch","mit","dem",33
"771","bin","dann","mal",33
"772","weiß","ich","nicht",33
"773","ist","vor","allem",33
"774","es","sein","dass",33
"775","nicht","so","schlimm",33
"776","dass","ich","es",33
"777","sieht","so","aus",33
"778","mich","nicht","mehr",33
"779","ist","es","so",33
"780","herzlichen","dank","für",33
"781","einer","halben","stunde",33
"782","es","gar","nicht",33
"783","zu","diesem","zeitpunkt",33
"784","ja","nicht","so",33
"785","auf","der","couch",33
"786","ist","das","eine",33
"787","sich","um","die",33
"788","vielen","dank","fürs",33
"789","in","der","folge",33
"790","es","bei","der",33
"791","es","war","eine",33
"792","wenn","man","das",33
"793","im","jahr","2009",33
"794","ist","es","ja",33
"795","an","der","börse",33
"796","ich","hab","mir",33
"797","nicht","mehr","viel",33
"798","frankfurt","am","main",33
"799","wieder","in","den",33
"800","fühle","ich","mich",33
"801","in","den","jahren",33
"802","in","form","von",33
"803","es","ist","der",33
"804","unter","dem","motto",33
"805","eine","frage","der",33
"806","dass","sich","der",33
"807","das","ist","für",33
"808","ging","es","um",33
"809","das","sind","die",33
"810","an","der","seite",33
"811","ein","sprecher","der",33
"812","seit","mehr","als",33
"813","zum","beispiel","die",33
"814","dafür","dass","die",32
"815","ich","nur","noch",32
"816","dann","ist","das",32
"817","bin","ich","mal",32
"818","ich","mir","nicht",32
"819","bis","zum","ende",32
"820","einen","schönen","abend",32
"821","und","einen","guten",32
"822","bin","ich","schon",32
"823","wie","es","sich",32
"824","ende","des","jahres",32
"825","wie","in","der",32
"826","fehlt","nur","noch",32
"827","kann","ich","das",32
"828","die","angst","vor",32
"829","auch","nur","ein",32
"830","einen","schönen","sonntag",32
"831","mich","auf","den",32
"832","noch","in","den",32
"833","wir","haben","die",32
"834","nicht","mehr","die",32
"835","wünsche","ich","dir",32
"836","wir","in","der",32
"837","auch","in","diesem",32
"838","in","die","zukunft",32
"839","ich","habe","eine",32
"840","ich","hoffe","es",32
"841","auf","dem","sofa",32
"842","sich","an","die",32
"843","an","den","finanzmärkten",32
"844","nicht","mehr","aus",32
"845","auf","dem","rücken",32
"846","es","ist","doch",32
"847","mit","den","worten",32
"848","nicht","mehr","mit",32
"849","gar","nicht","erst",32
"850","auf","die","bühne",32
"851","der","wall","street",32
"852","vor","allem","aber",32
"853","auch","bei","den",32
"854","der","vorsitzende","des",32
"855","dafür","gibt","es",32
"856","staats","und","regierungschefs",32
"857","ein","teil","der",32
"858","ist","mal","wieder",31
"859","auf","den","tisch",31
"860","wieder","auf","die",31
"861","bei","mir","ist",31
"862","die","von","den",31
"863","vor","allem","wenn",31
"864","auch","für","den",31
"865","in","diesem","zusammenhang",31
"866","was","auch","immer",31
"867","heute","abend","in",31
"868","sie","sich","in",31
"869","und","was","ist",31
"870","ist","auch","ein",31
"871","ich","hoffe","du",31
"872","ich","glaube","das",31
"873","es","auch","in",31
"874","wo","ist","der",31
"875","dass","ich","in",31
"876","ich","weiß","dass",31
"877","in","der","ard",31
"878","ist","denn","das",31
"879","kann","ich","dir",31
"880","lohnt","es","sich",31
"881","im","rahmen","des",31
"882","zurück","in","die",31
"883","nicht","so","ganz",31
"884","schon","in","den",31
"885","wäre","es","mit",31
"886","wenn","man","sie",31
"887","in","der","hoffnung",31
"888","es","sich","nicht",31
"889","freuen","uns","über",31
"890","ich","bin","dann",31
"891","mehr","als","zwei",31
"892","sie","mit","dem",31
"893","die","sich","für",31
"894","nicht","von","der",31
"895","habe","ich","in",31
"896","vor","zwei","wochen",31
"897","weg","in","die",31
"898","es","ist","das",31
"899","nicht","so","recht",31
"900","es","immer","wieder",31
"901","da","muss","man",31
"902","in","der","innenstadt",31
"903","im","gespräch","mit",31
"904","union","und","fdp",31
"905","jetzt","nur","noch",30
"906","so","kann","man",30
"907","ein","paar","stunden",30
"908","ich","aber","nicht",30
"909","aus","sicht","der",30
"910","das","ist","dann",30
"911","einen","guten","rutsch",30
"912","es","aber","auch",30
"913","so","oder","so",30
"914","geht","es","mit",30
"915","ist","so","ein",30
"916","ich","bin","sehr",30
"917","in","die","höhe",30
"918","ich","mal","wieder",30
"919","sehen","wir","uns",30
"920","dafür","sorgen","dass",30
"921","den","rest","der",30
"922","ich","mir","mal",30
"923","zusammen","mit","dem",30
"924","die","sich","mit",30
"925","jetzt","weiß","ich",30
"926","werden","in","der",30
"927","gerade","in","der",30
"928","ist","es","die",30
"929","kannst","du","mir",30
"930","ich","mich","jetzt",30
"931","mal","auf","die",30
"932","es","ja","auch",30
"933","kann","ich","ja",30
"934","kann","mir","jemand",30
"935","herzlichen","glückwunsch","zum",30
"936","in","die","welt",30
"937","jetzt","erst","mal",30
"938","das","problem","ist",30
"939","wir","haben","es",30
"940","hab","ich","die",30
"941","und","in","die",30
"942","jetzt","nicht","mehr",30
"943","schon","seit","jahren",30
"944","auf","sich","warten",30
"945","als","in","der",30
"946","mit","mehr","als",30
"947","es","in","dem",30
"948","ursula","von","der",30
"949","auf","der","insel",30
"950","in","der","gruppe",30
"951","ist","es","für",30
"952","in","der","kommenden",30
"953","der","präsident","des",30
"954","sagte","ein","sprecher",30
"955","ich","wünsche","dir",29
"956","am","sonntag","in",29
"957","im","hinblick","auf",29
"958","und","wir","sind",29
"959","ich","bin","in",29
"960","nur","für","die",29
"961","kann","nicht","mehr",29
"962","so","gar","nicht",29
"963","im","wert","von",29
"964","für","die","info",29
"965","die","ich","nicht",29
"966","dann","hast","du",29
"967","in","der","woche",29
"968","nicht","dass","die",29
"969","ist","es","das",29
"970","ich","hab","ja",29
"971","es","gibt","eine",29
"972","ich","fühl","mich",29
"973","auf","dem","balkon",29
"974","ist","es","wieder",29
"975","und","dann","auch",29
"976","für","den","rt",29
"977","zum","dritten","mal",29
"978","vor","einer","woche",29
"979","guten","morgen","an",29
"980","auch","an","der",29
"981","es","nicht","nur",29
"982","mit","der","neuen",29
"983","hast","du","das",29
"984","dass","sie","in",29
"985","kann","es","nicht",29
"986","rund","um","den",29
"987","an","der","universität",29
"988","die","ganze","welt",29
"989","ist","es","aber",29
"990","bin","mal","gespannt",29
"991","nicht","der","fall",29
"992","in","den","meisten",29
"993","nach","dem","anderen",29
"994","kennt","ihr","das",29
"995","guten","morgen","welt",29
"996","der","nähe","von",29
"997","vor","allem","für",29
"998","an","die","wand",29
"999","aber","nicht","mehr",29
"1000","in","die","hände",29
"1001","auf","dem","markt",29
"1002","ein","paar","minuten",29
"1003","ist","das","ein",29
"1004","nicht","mehr","das",29
"1005","du","bist","so",29
"1006","auf","der","strecke",29
"1007","auf","dem","boden",29
"1008","gibt","es","heute",29
"1009","im","zuge","der",29
"1010","auf","dem","heimweg",28
"1011","und","auf","der",28
"1012","ich","bin","immer",28
"1013","wünsche","ich","euch",28
"1014","nicht","mal","mehr",28
