"","W1","W2","W3","W4","Count"
"294","am","mittwoch","in","berlin",12
"295","von","union","und","fdp",12
"296","hat","in","den","vergangenen",12
"297","das","wall","street","journal",12
"298","ich","wünsche","allen","einen",11
"299","bis","zum","nächsten","mal",11
"300","hab","ich","mir","auch",11
"301","gute","nacht","ihr","lieben",11
"302","das","kann","ich","mir",11
"303","wenn","ich","groß","bin",11
"304","wenn","es","darum","geht",11
"305","ich","bin","ja","auch",11
"306","gibt","es","in","der",11
"307","da","freu","ich","mich",11
"308","auf","die","frage","wie",11
"309","gar","nicht","so","schlimm",11
"310","ich","mich","nicht","mehr",11
"311","auf","gar","keinen","fall",11
"312","immer","und","immer","wieder",11
"313","was","ist","eigentlich","mit",11
"314","zur","feier","des","tages",11
"315","guten","morgen","und","ein",11
"316","der","suche","nach","einer",11
"317","was","ist","denn","da",11
"318","euch","ein","schönes","wochenende",11
"319","danke","für","die","empfehlung",11
"320","in","der","nächsten","woche",11
"321","kann","mich","nicht","entscheiden",11
"322","wenn","ich","mich","nicht",11
"323","zum","ersten","mal","die",11
"324","endlich","mal","wieder","ein",11
"325","ist","es","wieder","soweit",11
"326","geht","es","um","den",11
"327","wir","freuen","uns","auch",11
"328","ist","auch","gut","so",11
"329","bin","ja","mal","gespannt",11
"330","da","kann","man","ja",11
"331","auf","den","weg","zur",11
"332","danke","für","die","blumen",11
"333","ich","glaub","ich","bin",11
"334","kann","ich","gar","nicht",11
"335","in","der","lage","sein",11
"336","auf","den","weg","zu",11
"337","ich","bin","in","der",11
"338","ein","hoch","auf","die",11
"339","vielen","dank","für","rt",11
"340","ist","das","denn","für",11
"341","na","dann","viel","spaß",11
"342","viel","spaß","beim","lesen",11
"343","mich","schon","auf","die",11
"344","kann","mir","mal","jemand",11
"345","ist","aber","auch","nicht",11
"346","einen","schönen","guten","morgen",11
"347","mal","sehen","was","die",11
"348","dir","auch","einen","schönen",11
"349","vor","ein","paar","tagen",11
"350","geht","davon","aus","dass",11
"351","was","ist","denn","los",11
"352","nur","eine","frage","der",11
"353","tag","an","dem","ich",11
"354","nicht","das","erste","mal",11
"355","in","den","usa","und",11
"356","ich","auch","noch","nicht",11
"357","auf","den","weg","nach",11
"358","in","den","letzten","monaten",11
"359","das","ist","gut","so",11
"360","ich","freue","mich","über",11
"361","im","wahrsten","sinne","des",11
"362","wahrsten","sinne","des","wortes",11
"363","wünsche","allen","ein","schönes",11
"364","nach","dem","willen","der",11
"365","die","suche","nach","einem",11
"366","für","das","kommende","jahr",11
"367","aus","den","reihen","der",11
"368","in","bezug","auf","die",11
"369","in","einer","zeit","in",11
"370","ich","bin","froh","dass",11
"371","in","den","eigenen","reihen",11
"372","bundesfinanzminister","wolfgang","schäuble","cdu",11
"373","es","so","aus","als",11
"374","im","ersten","halbjahr","2011",11
"375","die","schuldenkrise","in","europa",11
"376","aus","den","vereinigten","staaten",11
"377","auf","den","weg","gebracht",11
"378","in","den","ersten","neun",11
"379","den","ersten","neun","monaten",11
"380","prozent","im","vergleich","zum",11
"381","sagte","ein","sprecher","der",11
"382","von","der","leyen","cdu",11
"383","für","das","laufende","jahr",11
"384","mit","einem","minus","von",11
"385","morgen","und","einen","schönen",10
"386","einen","schönen","start","in",10
"387","dem","weg","zur","arbeit",10
"388","und","freue","mich","auf",10
"389","da","bin","ich","mal",10
"390","da","bin","ich","ja",10
"391","in","der","ersten","hälfte",10
"392","ich","liebe","es","wenn",10
"393","ich","freu","mich","so",10
"394","ich","kann","mir","nicht",10
"395","gar","nicht","so","einfach",10
"396","da","geht","noch","was",10
"397","würde","mich","freuen","wenn",10
"398","was","ist","mit","den",10
"399","derzeitige","prima","#primzahl","ist",10
"400","prima","#primzahl","ist","die",10
"401","im","anschluss","an","die",10
"402","wünsche","euch","einen","guten",10
"403","ganz","in","der","nähe",10
"404","gar","nicht","mal","so",10
"405","es","immer","noch","nicht",10
"406","gibt","es","nicht","nur",10
"407","euch","einen","schönen","tag",10
"408","von","spd","und","grünen",10
"409","im","vergleich","zu","anderen",10
"410","danke","fürs","folgen","und",10
"411","wir","leben","in","einer",10
"412","auch","nicht","mehr","das",10
"413","und","ich","dachte","schon",10
"414","für","die","ganze","familie",10
"415","wünschen","euch","einen","guten",10
"416","ich","glaube","ich","muss",10
"417","ich","glaube","ich","bin",10
"418","eine","gute","nacht","und",10
"419","auch","einen","guten","morgen",10
"420","da","muss","man","sich",10
"421","wenn","man","in","der",10
"422","kannte","ich","noch","nicht",10
"423","weiß","nicht","ob","ich",10
"424","wie","geht","es","dir",10
"425","hab","ich","auch","schon",10
"426","ich","freue","mich","dass",10
"427","und","wir","freuen","uns",10
"428","ich","glaube","ich","werde",10
"429","wir","wünschen","allen","ein",10
"430","sich","in","den","letzten",10
"431","auf","dem","rücken","der",10
"432","ist","hier","die","frage",10
"433","in","der","arabischen","welt",10
"434","steht","vor","der","tür",10
"435","wünsch","ich","dir","auch",10
"436","davon","aus","dass","sich",10
"437","gefällt","mir","sehr","gut",10
"438","ich","das","nächste","mal",10
"439","nicht","mehr","ganz","so",10
"440","auf","den","weg","zum",10
"441","guten","morgen","in","die",10
"442","freut","sich","auf","die",10
"443","wenn","man","bedenkt","dass",10
"444","lange","auf","sich","warten",10
"445","vor","allem","für","die",10
"446","dass","es","in","der",10
"447","aber","das","ist","ja",10
"448","in","den","90er","jahren",10
"449","auf","der","rechten","seite",10
"450","aber","nicht","nur","die",10
"451","noch","in","diesem","jahr",10
"452","in","der","ersten","halbzeit",10
"453","in","den","80er","jahren",10
"454","bündnis","90","die","grünen",10
"455","an","der","börse","in",10
"456","nach","wie","vor","die",10
"457","eu-kommissionspräsident","josé","manuel","barroso",10
"458","der","blick","auf","die",10
"459","dabei","handelt","es","sich",10
"460","die","meisten","von","ihnen",10
"461","bundesverkehrsminister","peter","ramsauer","csu",10
"462","in","den","nächsten","monaten",10
"463","der","parlamentarische","geschäftsführer","der",10
"464","hieß","es","in","der",10
"465","sagte","der","sprecher","des",10
"466","die","mannschaft","von","trainer",10
"467","ging","es","um","die",10
"468","handele","es","sich","um",10
"469","den","vergangenen","zehn","jahren",10
"470","im","nachbörslichen","amerikanischen","handel",10
"471","gespräch","mit","unserer","zeitung",10
"472","finanzminister","wolfgang","schäuble","cdu",10
"473","sex","and","the","city",9
"474","und","freuen","uns","auf",9
"475","seit","langem","mal","wieder",9
"476","dinge","die","ich","nicht",9
"477","das","kann","man","nicht",9
"478","was","ist","denn","passiert",9
"479","aber","es","ist","nicht",9
"480","fängt","ja","gut","an",9
"481","ich","hoffe","du","hast",9
"482","besseres","zu","tun","als",9
"483","in","die","nächste","runde",9
"484","sich","auf","jeden","fall",9
"485","ein","frohes","neues","jahr",9
"486","vor","einem","halben","jahr",9
"487","wir","wünschen","allen","einen",9
"488","bin","gespannt","auf","die",9
"489","kann","doch","nicht","sein",9
"490","ich","glaube","ich","habe",9
"491","wir","freuen","uns","dass",9
"492","ist","es","in","der",9
"493","gewidmet","warum","ich","#primzahlen",9
"494","warum","ich","#primzahlen","twittere",9
"495","ich","#primzahlen","twittere","keine",9
"496","#primzahlen","twittere","keine","ahnung",9
"497","weiß","ich","noch","nicht",9
"498","weiß","ich","auch","nicht",9
"499","gerade","zum","ersten","mal",9
"500","ich","geh","dann","mal",9
"501","wie","gut","dass","ich",9
"502","kann","ich","nur","empfehlen",9
"503","hatte","ich","auch","schon",9
"504","ich","drück","die","daumen",9
"505","das","kann","doch","nicht",9
"506","sich","auf","den","weg",9
"507","wo","bist","du","denn",9
"508","man","weiß","es","nicht",9
"509","es","ist","nicht","so",9
"510","das","habe","ich","mir",9
"511","die","frage","ist","nur",9
"512","was","für","ein","tag",9
"513","freue","mich","auf","das",9
"514","drück","dir","die","daumen",9
"515","johann","wolfgang","von","goethe",9
"516","wer","ist","eigentlich","dieser",9
"517","das","ist","für","uns",9
"518","in","diesem","jahr","mit",9
"519","sind","wir","nicht","alle",9
"520","aber","auf","jeden","fall",9
"521","freue","mich","auf","den",9
"522","besser","spät","als","nie",9
"523","schon","gar","nicht","mehr",9
"524","am","horn","von","afrika",9
"525","in","der","letzten","zeit",9
"526","und","danke","für","den",9
"527","dir","auch","einen","guten",9
"528","danke","für","den","link",9
"529","es","gibt","leute","die",9
"530","was","ist","da","los",9
"531","da","gibt","es","keine",9
"532","hab","ich","noch","nie",9
"533","muss","ich","nur","noch",9
"534","ich","gehe","davon","aus",9
"535","hätte","nicht","gedacht","dass",9
"536","ich","würde","mich","freuen",9
"537","im","vergleich","mit","dem",9
"538","mitten","in","der","stadt",9
"539","mal","schauen","was","die",9
"540","im","kampf","gegen","den",9
"541","ich","danke","dir","für",9
"542","einen","blick","auf","die",9
"543","was","mach","ich","jetzt",9
"544","dann","bin","ich","ja",9
"545","ich","froh","dass","ich",9
"546","ich","freue","mich","auch",9
"547","viel","spaß","und","erfolg",9
"548","alles","liebe","und","gute",9
"549","in","der","ganzen","welt",9
"550","auf","die","idee","kommen",9
"551","ins","bett","gute","nacht",9
"552","danke","für","den","#ff",9
"553","es","gibt","aber","auch",9
"554","einer","welt","in","der",9
"555","ist","klar","im","vorteil",9
"556","und","das","ist","gut",9
"557","für","die","schnelle","antwort",9
"558","ist","auch","so","ein",9
"559","die","ein","oder","andere",9
"560","dann","kann","ich","ja",9
"561","ich","kann","es","nicht",9
"562","da","hab","ich","mich",9
"563","wie","meinst","du","das",9
"564","bis","zum","ende","des",9
"565","auf","den","weg","gemacht",9
"566","den","ein","oder","anderen",9
"567","der","ein","oder","andere",9
"568","mal","in","dieser","saison",9
"569","bin","ich","mir","nicht",9
"570","bin","dann","mal","weg",9
"571","und","dann","ist","es",9
"572","und","vor","allen","dingen",9
"573","was","das","zeug","hält",9
"574","der","eine","oder","andere",9
"575","das","liegt","daran","dass",9
"576","den","einen","oder","anderen",9
"577","schritt","in","die","richtige",9
"578","guten","morgen","guten","morgen",9
"579","sieht","es","so","aus",9
"580","ist","die","zahl","der",9
"581","nach","angaben","der","polizei",9
"582","die","frage","nach","dem",9
"583","mein","mann","und","ich",9
"584","die","vereinigten","staaten","von",9
"585","darauf","hin","dass","die",9
"586","auf","den","markt","kommen",9
"587","eine","ganze","reihe","von",9
"588","der","suche","nach","dem",9
"589","mehr","als","50","prozent",9
"590","von","der","university","of",9
"591","im","laufe","der","jahre",9
"592","gilt","auch","für","die",9
"593","des","internationalen","währungsfonds","iwf",9
"594","nach","dem","zweiten","weltkrieg",9
"595","so","gut","wie","nichts",9
"596","es","ist","wichtig","dass",9
"597","mehr","als","nur","ein",9
"598","als","vor","einem","jahr",9
"599","dass","die","zahl","der",9
"600","in","den","usa","die",9
"601","die","new","york","times",9
"602","sagte","ein","sprecher","des",9
"603","noch","in","der","nacht",9
"604","sich","in","diesem","jahr",9
"605","in","kooperation","mit","dem",9
"606","nach","einem","bericht","der",9
"607","hieß","es","in","einer",9
"608","vom","11","september","2001",9
"609","zeitung","unter","berufung","auf",9
"610","der","nacht","zum","donnerstag",9
"611","news","of","the","world",9
"612","es","handele","sich","um",9
"613","der","breiter","gefasste","s",9
"614","den","vereinigten","staaten","und",9
"615","als","reaktion","auf","die",9
"616","kurz","vor","der","pause",9
"617","eu-ratspräsident","herman","van","rompuy",9
"618","wünscht","allen","einen","guten",8
"619","wie","die","zeit","vergeht",8
"620","hoffen","wir","mal","dass",8
"621","ich","freu","mich","auch",8
"622","bin","mal","gespannt","ob",8
"623","genau","das","was","ich",8
"624","freuen","uns","auf","die",8
"625","kann","ich","mir","vorstellen",8
"626","ist","das","für","ein",8
"627","euch","allen","eine","gute",8
"628","wusste","gar","nicht","dass",8
"629","geh","jetzt","ins","bett",8
"630","das","gefühl","dass","die",8
"631","bin","ich","froh","wenn",8
"632","das","ist","doch","mal",8
"633","ich","freu","mich","drauf",8
"634","auf","jeden","fall","noch",8
"635","denn","das","für","ein",8
"636","freue","mich","schon","sehr",8
"637","wie","alt","bist","du",8
"638","in","einer","halben","stunde",8
"639","auf","die","idee","gekommen",8
"640","es","ist","nicht","zu",8
"641","da","fühlt","man","sich",8
"642","wünsche","euch","ein","schönes",8
"643","und","was","macht","ihr",8
"644","dann","sehen","wir","uns",8
"645","wenn","du","lust","hast",8
"646","euch","allen","ein","schönes",8
"647","und","vielen","dank","für",8
"648","bei","mir","in","der",8
"649","allen","einen","schönen","sonntag",8
"650","was","ist","mit","dem",8
"651","ich","weiß","noch","nicht",8
"652","freu","mich","schon","drauf",8
"653","ich","wünsche","euch","ein",8
"654","das","ist","doch","nicht",8
"655","ich","bin","ein","star",8
"656","war","auf","jeden","fall",8
"657","und","freut","sich","auf",8
"658","es","gibt","so","viele",8
"659","ich","glaub","ich","werd",8
"660","jetzt","geht","es","um",8
"661","guten","morgen","an","diesem",8
"662","man","darf","gespannt","sein",8
"663","und","viel","spaß","im",8
"664","guten","morgen","liebe","sorgen",8
"665","den","rest","des","tages",8
"666","weiß","immer","noch","nicht",8
"667","nicht","mehr","so","viel",8
"668","den","kampf","gegen","die",8
"669","das","wünsche","ich","dir",8
"670","jetzt","fehlt","nur","noch",8
"671","zum","glück","hab","ich",8
"672","guten","start","in","den",8
"673","es","geht","nicht","darum",8
"674","auch","einen","schönen","tag",8
"675","es","gibt","viel","zu",8
"676","ist","ja","auch","ein",8
"677","wer","von","euch","hat",8
"678","nicht","so","schlimm","wie",8
"679","neigt","sich","dem","ende",8
"680","nicht","mehr","das","was",8
"681","viel","spaß","bei","der",8
"682","auf","jeden","fall","ein",8
"683","in","die","runde","und",8
"684","ist","es","so","weit",8
"685","wünsche","euch","allen","ein",8
"686","so","kann","man","sich",8
"687","in","der","formel","1",8
"688","allen","einen","guten","rutsch",8
"689","ich","wünsche","allen","ein",8
"690","mal","sehen","wie","es",8
"691","kann","mir","jemand","sagen",8
"692","ich","mich","auf","die",8
"693","vor","allem","über","die",8
"694","ist","das","einzige","was",8
"695","es","endlich","so","weit",8
"696","einen","erfolgreichen","start","in",8
"697","ist","auch","nicht","so",8
"698","hab","ich","noch","nicht",8
"699","dann","bin","ich","mal",8
"700","und","was","mach","ich",8
"701","jetzt","auf","den","weg",8
"702","es","sich","bei","dem",8
"703","ein","blick","in","die",8
"704","wird","in","den","kommenden",8
"705","sex","in","berlin","im",8
"706","in","berlin","im","handel",8
"707","berlin","im","handel","und",8
"708","im","handel","und","portofrei",8
"709","handel","und","portofrei","für",8
"710","und","portofrei","für","9,80",8
"711","portofrei","für","9,80","bei",8
"712","für","9,80","bei","amazon.de",8
"713","9,80","bei","amazon.de","oder",8
"714","bei","amazon.de","oder","buecher.de",8
"715","habe","ich","das","gefühl",8
"716","wünsche","allen","einen","schönen",8
"717","sind","auf","dem","weg",8
"718","das","ist","ja","mal",8
"719","der","rest","der","welt",8
"720","ich","mich","auch","schon",8
"721","es","ist","auch","nicht",8
"722","sehe","ich","auch","so",8
"723","im","zusammenhang","mit","den",8
"724","hab","ich","ja","noch",8
"725","freue","mich","auf","einen",8
"726","in","new","york","und",8
"727","bei","mir","gibt","es",8
"728","dass","sie","nicht","mehr",8
"729","wie","kann","man","nur",8
"730","euch","einen","schönen","sonntag",8
"731","auf","jeden","fall","eine",8
"732","19","uhr","in","der",8
"733","ich","in","den","letzten",8
"734","danke","für","die","glückwünsche",8
"735","in","der","ersten","runde",8
"736","das","so","weiter","geht",8
"737","in","ein","paar","wochen",8
"738","ich","habe","keine","lust",8
"739","das","ist","auch","ein",8
"740","was","war","das","denn",8
"741","wer","lesen","kann","ist",8
"742","lesen","kann","ist","klar",8
"743","kann","ist","klar","im",8
"744","ich","bin","jetzt","auch",8
"745","für","alle","die","sich",8
"746","das","ist","hier","die",8
"747","antwort","auf","die","frage",8
"748","ich","fass","es","nicht",8
"749","auf","der","nächsten","seite",8
"750","über","die","bühne","gehen",8
"751","wenn","es","in","der",8
"752","das","hab","ich","auch",8
"753","auch","noch","ein","paar",8
"754","die","sache","mit","dem",8
"755","ich","hoffe","dass","ich",8
"756","nicht","mehr","aus","dem",8
"757","fühlt","sich","gut","an",8
"758","da","fällt","mir","ein",8
"759","wenn","das","so","weiter",8
"760","wird","in","diesem","jahr",8
"761","seit","ein","paar","tagen",8
"762","nach","und","nach","die",8
"763","und","so","weiter","und",8
"764","ich","weiß","auch","nicht",8
"765","um","zu","verhindern","dass",8
"766","und","so","habe","ich",8
"767","es","an","der","zeit",8
"768","unter","dach","und","fach",8
"769","es","nicht","ganz","so",8
"770","aber","es","gibt","auch",8
"771","die","frage","nach","der",8
"772","und","auf","dem","weg",8
"773","über","das","ende","der",8
"774","es","sich","nicht","um",8
"775","den","weg","in","die",8
"776","sich","auf","dem","weg",8
"777","habe","ich","noch","nie",8
"778","geht","es","nicht","um",8
"779","ein","halbes","jahr","lang",8
"780","mal","wieder","zeit","für",8
"781","nicht","nur","auf","die",8
"782","so","etwas","wie","eine",8
"783","es","ist","noch","nicht",8
"784","ausstieg","aus","der","atomenergie",8
"785","sich","die","zahl","der",8
"786","nichts","anderes","übrig","als",8
"787","aber","es","ist","ein",8
"788","ob","es","sich","um",8
"789","die","rede","ist","von",8
"790","rund","um","den","globus",8
"791","der","frankfurter","allgemeinen","zeitung",8
"792","und","das","nicht","nur",8
"793","der","deutschen","gesellschaft","für",8
"794","in","der","welt","der",8
"795","7","was","das","wochenende",8
"796","was","das","wochenende","angeht",8
"797","das","wochenende","angeht","heute",8
"798","wochenende","angeht","heute","abend",8
"799","angeht","heute","abend","freue",8
"800","heute","abend","freue","ich",8
"801","abend","freue","ich","mich",8
"802","und","sonntag","möchte","ich",8
"803","bei","den","vereinten","nationen",8
"804","mit","salz","und","pfeffer",8
"805","darüber","hinaus","gibt","es",8
"806","heißt","es","in","einem",8
"807","die","regierung","in","athen",8
"808","zeit","in","der","die",8
"809","in","diesem","jahr","die",8
"810","in","polen","und","der",8
