"","W1","W2","Count"
"261","prozent","der",375
"262","ich","werde",374
"263","war","es",373
"264","als","ich",373
"265","unter","anderem",373
"266","und","was",372
"267","bist","du",371
"268","wird","das",370
"269","sie","die",370
"270","die","stadt",369
"271","die","zeit",369
"272","man","die",368
"273","hat","das",367
"274","weil","ich",365
"275","ist","schon",365
"276","ich","hoffe",365
"277","hat","er",365
"278","von","einer",365
"279","doch","nicht",364
"280","war","die",363
"281","sich","auch",362
"282","noch","eine",358
"283","von","dem",358
"284","am","sonntag",357
"285","und","jetzt",356
"286","und","sie",355
"287","die","meisten",355
"288","ich","schon",354
"289","da","ist",354
"290","zu","können",353
"291","prozent","auf",353
"292","weil","sie",352
"293","die","von",352
"294","sondern","auch",352
"295","gute","nacht",351
"296","für","alle",351
"297","hatte","ich",351
"298","und","damit",349
"299","ja","nicht",349
"300","zu","hause",349
"301","werde","ich",348
"302","er","ist",346
"303","freue","mich",346
"304","wenn","der",346
"305","du","hast",345
"306","von","mir",345
"307","ich","jetzt",345
"308","ich","in",345
"309","wenn","das",344
"310","so","gut",343
"311","ich","den",342
"312","wie","das",342
"313","noch","die",341
"314","sehr","gut",340
"315","sind","wir",340
"316","mal","ein",340
"317","zu","werden",340
"318","nach","hause",339
"319","heißt","es",339
"320","haben","sie",336
"321","auch","bei",336
"322","hat","es",336
"323","wenn","er",333
"324","und","sich",332
"325","an","dem",332
"326","einer","der",328
"327","unter","den",328
"328","so","wie",326
"329","unter","dem",326
"330","man","kann",326
"331","ist","er",326
"332","die","ersten",325
"333","das","mit",325
"334","auch","mit",324
"335","auch","im",323
"336","und","zu",323
"337","und","wie",323
"338","am","dienstag",322
"339","wie","sie",320
"340","war","ein",320
"341","man","nicht",319
"342","am","donnerstag",319
"343","dann","auch",318
"344","um","das",318
"345","eine","neue",317
"346","am","mittwoch",317
"347","einen","schönen",316
"348","das","erste",316
"349","wegen","der",316
"350","in","meinem",315
"351","das","neue",315
"352","am","samstag",314
"353","bei","einer",314
"354","die","menschen",314
"355","haben","sich",313
"356","den","ersten",312
"357","die","erste",312
"358","was","die",311
"359","auf","jeden",310
"360","eine","gute",310
"361","und","auf",310
"362","ist","dass",309
"363","den","vergangenen",309
"364","das","leben",308
"365","jetzt","auch",308
"366","in","eine",307
"367","auch","auf",307
"368","auch","eine",306
"369","an","einem",306
"370","und","wir",306
"371","das","wird",306
"372","nicht","das",306
"373","hätte","ich",305
"374","noch","einmal",304
"375","der","die",303
"376","ich","mal",302
"377","das","ich",301
"378","würde","ich",300
"379","und","wenn",300
"380","auf","ein",300
"381","kann","es",299
"382","der","sich",299
"383","war","ich",299
"384","weil","die",298
"385","wird","der",298
"386","es","noch",297
"387","an","und",297
"388","die","sonne",296
"389","jeden","fall",296
"390","ich","hatte",295
"391","am","besten",295
"392","sich","im",295
"393","ich","mit",294
"394","es","die",294
"395","ich","finde",293
"396","dank","für",292
"397","nicht","dass",292
"398","die","deutsche",292
"399","wieder","in",291
"400","wie","man",291
"401","und","im",290
"402","nach","den",289
"403","in","seiner",288
"404","mal","in",287
"405","ich","liebe",287
"406","so","viele",286
"407","den","letzten",286
"408","ist","für",286
"409","diesem","jahr",285
"410","freu","mich",284
"411","noch","in",284
"412","ich","war",284
"413","in","das",284
"414","er","die",284
"415","einen","guten",283
"416","sich","für",283
"417","das","ganze",283
"418","auch","so",282
"419","die","ganze",281
"420","das","die",281
"421","den","usa",281
"422","noch","nie",279
"423","nicht","mal",279
"424","mich","nicht",279
"425","man","das",278
"426","ja","schon",277
"427","ein","schönes",277
"428","in","seinem",277
"429","finde","ich",276
"430","hatte","die",276
"431","das","land",276
"432","und","einen",275
"433","während","der",275
"434","als","der",274
"435","lässt","sich",273
"436","die","polizei",273
"437","dann","ist",272
"438","der","erste",272
"439","an","alle",271
"440","wieder","ein",271
"441","auf","einem",271
"442","wenn","wir",271
"443","und","ist",270
"444","heute","ist",270
"445","das","kann",270
"446","nur","eine",268
"447","noch","mal",268
"448","denn","die",268
"449","zu","dem",267
"450","doch","die",267
"451","sie","sind",267
"452","leider","nicht",266
"453","auch","nur",266
"454","sich","um",266
"455","des","tages",265
"456","es","mit",265
"457","mich","auf",264
"458","und","für",264
"459","ob","ich",263
"460","sagte","er",263
"461","einfach","nur",262
"462","es","eine",262
"463","das","auch",261
"464","mit","seinem",261
"465","nicht","der",261
"466","die","das",260
"467","sie","mit",260
"468","mal","die",259
"469","ich","dann",259
"470","an","diesem",259
"471","der","ersten",258
"472","auch","immer",258
"473","die","mit",258
"474","mir","die",257
"475","den","ganzen",257
"476","es","nur",257
"477","so","dass",257
"478","zum","glück",256
"479","nur","mit",256
"480","zu","viel",256
"481","sie","ist",256
"482","ende","der",255
"483","kannst","du",254
"484","ja","das",254
"485","ist","wie",254
"486","die","nicht",253
"487","zu","finden",253
"488","noch","einen",252
"489","ob","die",252
"490","der","in",252
"491","mir","das",251
"492","aber","der",251
"493","auf","einer",250
"494","werden","und",250
"495","ist","noch",249
"496","sich","an",249
"497","über","eine",249
"498","ich","dir",248
"499","das","was",248
"500","es","zu",248
"501","die","im",248
"502","menschen","die",245
"503","können","wir",245
"504","freuen","uns",244
"505","ich","mag",244
"506","nach","angaben",244
"507","er","hat",243
"508","ein","neues",243
"509","ist","denn",243
"510","unter","der",243
"511","im","internet",242
"512","und","da",242
"513","hieß","es",242
"514","das","sind",242
"515","an","das",242
"516","ist","mit",241
"517","er","nicht",241
"518","aber","nur",241
"519","ich","glaub",240
"520","mal","sehen",240
"521","was","man",240
"522","sie","das",240
"523","es","so",239
"524","dann","mal",239
"525","ist","da",239
"526","ich","würde",238
"527","der","neuen",238
"528","waren","die",238
"529","hat","mich",237
"530","nicht","ganz",237
"531","als","auch",237
"532","sich","selbst",237
"533","zu","lassen",236
"534","den","weg",236
"535","vor","den",236
"536","er","in",236
"537","in","ein",235
"538","doch","auch",235
"539","ja","ich",234
"540","nicht","an",234
"541","es","für",233
"542","ich","meine",233
"543","wie","in",233
"544","sich","ein",233
"545","das","problem",233
"546","immer","mehr",233
"547","die","man",233
"548","es","um",233
"549","nur","in",232
"550","ich","aber",232
"551","die","leute",232
"552","nicht","von",232
"553","in","ihrer",232
"554","die","sie",232
"555","in","meiner",231
"556","am","wochenende",231
"557","es","aber",231
"558","ist","nur",231
"559","ich","denke",231
"560","es","ja",231
"561","ins","bett",230
"562","oder","so",230
"563","sie","haben",230
"564","die","letzten",230
"565","sind","sie",230
"566","um","eine",230
"567","zur","verfügung",229
"568","dass","du",228
"569","noch","mehr",228
"570","ich","heute",228
"571","ich","hätte",227
"572","das","hat",227
"573","wir","die",227
"574","sollte","man",226
"575","habe","die",226
"576","es","ein",226
"577","kann","nicht",226
"578","sie","auch",226
"579","new","york",226
"580","doch","noch",225
"581","ist","mir",224
"582","habt","ihr",223
"583","ich","nur",223
"584","in","denen",222
"585","es","bei",221
"586","die","auf",221
"587","und","hat",221
"588","kurz","vor",221
"589","der","zeit",221
"590","hat","sie",221
"591","schon","in",221
"592","mit","ihren",221
"593","und","seine",221
"594","mir","auch",220
"595","jetzt","noch",220
"596","weiß","ich",219
"597","es","dann",218
"598","die","regierung",218
"599","in","europa",218
"600","ich","wünsche",217
"601","wir","werden",217
"602","zu","der",217
"603","die","anderen",217
"604","an","einer",217
"605","kann","sich",217
"606","vor","einem",217
"607","schönes","wochenende",216
"608","ich","ein",216
"609","na","dann",216
"610","die","den",216
"611","weil","es",216
"612","dieses","jahr",215
"613","was","sie",215
"614","zum","ersten",215
"615","für","uns",215
"616","in","hamburg",215
"617","aber","noch",215
"618","dann","die",215
"619","auf","und",215
"620","im","vergangenen",215
"621","wird","in",213
"622","einfach","nicht",213
"623","es","im",213
"624","zum","thema",212
"625","besser","als",212
"626","für","sie",212
"627","wir","freuen",211
"628","ich","dachte",211
"629","ich","doch",211
"630","es","mir",211
"631","wir","müssen",211
"632","kann","das",210
"633","hat","man",210
"634","da","ich",210
"635","so","lange",209
"636","ab","und",209
"637","nichts","mehr",209
"638","schon","seit",209
"639","blick","auf",209
"640","hat","und",209
"641","des","landes",209
"642","glaub","ich",208
"643","einfach","mal",208
"644","nicht","einmal",208
"645","soll","ich",208
"646","jetzt","schon",208
"647","man","muss",207
"648","man","den",207
"649","kann","die",207
"650","sich","bei",207
"651","das","buch",207
"652","mir","nicht",206
"653","den","nächsten",206
"654","doch","mal",206
"655","jetzt","ist",206
"656","suche","nach",205
"657","und","er",205
"658","wir","wollen",205
"659","es","sei",205
"660","will","ich",204
"661","sie","es",204
"662","social","media",204
"663","der","neue",204
"664","sich","über",204
"665","noch","immer",204
"666","des","jahres",204
"667","nächste","woche",204
"668","man","in",204
"669","sich","von",204
"670","weil","er",203
"671","so","ist",203
"672","sie","den",203
"673","und","nach",203
"674","ich","so",202
"675","und","nun",202
"676","nicht","für",202
"677","wieder","auf",202
"678","mich","schon",201
"679","die","kinder",201
"680","nicht","aber",200
"681","aus","und",200
"682","durch","das",200
"683","der","letzten",199
"684","glaube","ich",199
"685","das","thema",199
"686","erst","mal",199
"687","in","ihrem",199
"688","und","noch",198
"689","man","auch",198
"690","noch","so",198
"691","und","an",198
"692","ist","sie",198
"693","oder","die",198
"694","es","sind",197
"695","bis","zur",197
"696","sind","nicht",197
"697","im","moment",197
"698","wie","vor",197
"699","sich","aber",197
"700","das","spiel",196
"701","nicht","im",196
"702","und","wieder",196
"703","ist","immer",196
"704","sich","als",196
"705","wird","sich",195
"706","nur","für",195
"707","wie","er",195
"708","als","ein",195
"709","und","bei",194
"710","ist","jetzt",194
"711","einem","jahr",194
"712","und","von",194
"713","sind","auch",194
"714","ja","noch",193
"715","mit","mir",193
"716","ob","es",193
"717","endlich","mal",193
"718","der","mann",193
"719","und","schon",193
"720","sein","dass",193
"721","können","die",193
"722","sie","auf",193
"723","auch","einen",192
"724","der","ist",192
"725","noch","auf",192
"726","nicht","aus",192
"727","ersten","mal",192
"728","zwischen","den",192
"729","mich","auch",191
"730","sich","zu",191
"731","freut","sich",190
"732","so","etwas",190
"733","ich","euch",190
"734","jeden","tag",190
"735","als","er",190
"736","wenn","ihr",189
"737","das","gefühl",189
"738","wäre","es",189
"739","sei","es",189
"740","haben","und",188
"741","und","ihre",188
"742","das","unternehmen",188
"743","im","vergleich",187
"744","in","münchen",187
"745","werden","wir",187
"746","mal","auf",187
"747","du","das",187
"748","so","eine",187
"749","von","euch",186
"750","das","in",186
"751","die","arbeit",186
"752","leute","die",186
"753","auch","von",186
"754","mal","was",186
"755","euch","allen",186
"756","hatte","sich",186
"757","ob","sie",185
"758","auch","an",185
"759","ist","im",185
"760","auch","den",184
"761","da","die",184
"762","mit","ihrem",184
"763","hat","eine",183
"764","bei","dir",183
"765","nur","das",182
"766","du","nicht",182
"767","als","sie",182
"768","wie","eine",182
"769","einen","neuen",182
"770","hier","in",182
"771","sind","es",182
"772","schon","ein",182
"773","möchte","ich",182
"774","als","das",182
"775","zusammen","mit",182
"776","wir","in",181
"777","heute","noch",181
"778","keine","ahnung",181
"779","die","sind",181
"780","nicht","immer",181
"781","vereinigten","staaten",181
"782","den","tag",180
"783","um","ein",180
"784","ist","kein",180
"785","sei","die",180
"786","herzlichen","glückwunsch",179
"787","viel","erfolg",179
"788","der","polizei",179
"789","die","idee",179
"790","auch","wieder",179
"791","zu","spät",179
"792","die","fdp",179
"793","mit","seiner",179
"794","hatte","der",179
"795","der","europäischen",179
"796","wir","das",178
"797","alles","gute",178
"798","sie","zu",178
"799","teil","der",178
"800","ist","bei",178
"801","seit","jahren",177
"802","vor","die",177
"803","die","geschichte",177
"804","sagt","er",177
"805","die","zukunft",177
"806","die","zahl",177
"807","die","nächste",176
"808","die","auch",176
"809","das","geht",176
"810","und","zwar",176
"811","über","einen",176
"812","angela","merkel",176
"813","ende","des",176
"814","der","nacht",176
"815","ob","das",175
"816","seit","dem",175
"817","mir","ist",175
"818","wieder","zu",175
"819","ich","möchte",175
"820","nach","wie",175
"821","das","wetter",174
"822","ich","sie",174
"823","hier","ist",174
"824","für","dich",174
"825","für","ihre",174
"826","ganz","schön",174
"827","jetzt","nicht",174
"828","das","geld",174
"829","ich","auf",173
"830","gefällt","mir",173
"831","alles","was",173
"832","sind","in",173
"833","die","deutschen",173
"834","es","schon",173
"835","heute","morgen",173
"836","man","mit",173
"837","und","vor",173
"838","sie","hat",173
"839","anders","als",173
"840","in","köln",172
"841","dann","noch",172
"842","ich","wollte",172
"843","alle","die",172
"844","der","tag",172
"845","sein","und",172
"846","wie","bei",172
"847","das","alles",172
"848","die","usa",172
"849","das","beste",171
"850","uns","auf",171
"851","und","man",171
"852","zu","sagen",171
"853","ist","alles",171
"854","hat","ein",171
"855","die","hälfte",170
"856","wir","wünschen",170
"857","man","es",170
"858","hat","mir",170
"859","wohl","nicht",170
"860","die","grünen",170
"861","bin","gespannt",170
"862","gegen","das",170
"863","das","der",169
"864","die","neuen",169
"865","ist","dann",169
"866","zu","gehen",169
"867","im","sommer",169
"868","von","ihnen",169
"869","eine","der",169
"870","nur","auf",168
"871","ist","zu",168
"872","mach","ich",168
"873","das","für",168
"874","sich","nach",168
"875","wo","ist",168
"876","das","ergebnis",168
"877","dass","ein",168
"878","im","büro",167
"879","noch","mit",167
"880","wer","hat",167
"881","dann","doch",167
"882","sich","am",167
"883","das","wäre",167
"884","können","sie",167
"885","ich","wieder",166
"886","nur","der",166
"887","noch","keine",166
"888","so","die",166
"889","um","einen",166
"890","die","es",165
"891","für","diese",165
"892","war","auch",165
"893","nicht","wirklich",165
"894","er","mit",165
"895","zeit","für",165
"896","werden","kann",165
"897","vergangenen","jahr",165
"898","da","war",164
"899","ist","heute",164
"900","den","kopf",164
"901","soll","das",164
"902","habe","es",164
"903","für","sich",164
"904","wollte","ich",164
"905","so","weit",164
"906","ging","es",164
"907","noch","was",163
"908","mal","mit",163
"909","nur","so",163
"910","so","richtig",163
"911","mit","meinem",163
"912","ich","geh",163
"913","ist","wieder",163
"914","so","schnell",163
"915","um","sich",163
"916","die","der",163
"917","also","ich",162
"918","noch","zu",162
"919","ich","hasse",162
"920","eine","große",162
"921","die","für",162
"922","werden","können",162
"923","ich","freue",162
"924","lassen","sich",162
"925","nun","auch",162
"926","dafür","dass",161
"927","den","neuen",161
"928","auch","als",161
"929","natürlich","auch",161
"930","was","er",161
"931","oder","nicht",161
"932","vor","ort",161
"933","sind","das",161
"934","im","ersten",161
"935","zu","ende",160
"936","wir","auch",160
"937","nicht","wie",160
"938","schon","die",160
"939","schon","im",160
"940","und","als",160
"941","eine","andere",159
"942","du","denn",159
"943","hat","den",159
"944","es","hat",159
"945","jetzt","mal",158
"946","für","heute",158
"947","heute","in",158
"948","menschen","in",158
"949","mit","seinen",158
"950","als","eine",158
"951","wie","viele",157
"952","nicht","um",157
"953","zu","lesen",157
"954","was","soll",157
"955","mehr","zu",157
"956","der","arbeit",157
"957","erst","einmal",157
"958","wo","die",157
"959","es","einen",157
"960","es","keine",156
"961","nicht","viel",156
"962","der","woche",156
"963","das","so",156
"964","zahl","der",156
"965","und","wird",156
"966","start","in",155
"967","müssen","wir",155
"968","ich","freu",155
"969","der","cdu",155
"970","mal","so",155
"971","schon","auf",155
"972","sind","und",155
"973","denn","das",155
"974","etwas","zu",155
"975","es","wieder",154
"976","ich","im",154
"977","weniger","als",154
"978","soll","es",154
"979","sagt","der",154
"980","das","macht",154
"981","noch","etwas",154
"982","dann","aber",154
"983","doch","nur",153
"984","was","das",153
"985","mir","ein",153
"986","mich","an",153
"987","wie","immer",153
"988","hin","und",153
"989","mal","eine",153
"990","angesichts","der",153
"991","ein","gutes",152
"992","in","frankfurt",152
"993","ich","da",152
"994","da","kann",152
"995","oder","auch",152
"996","kann","mir",152
"997","er","das",152
"998","schon","lange",151
"999","ist","mein",151
"1000","ich","eine",151
"1001","überhaupt","nicht",151
"1002","ist","auf",151
"1003","ein","und",151
"1004","mit","denen",151
"1005","milliarden","dollar",151
"1006","und","du",150
"1007","im","rahmen",150
"1008","immer","so",150
"1009","hat","jemand",150
"1010","ist","einfach",150
"1011","ganzen","tag",150
"1012","und","wer",150
"1013","ganz","gut",150
"1014","aber","in",150
"1015","der","von",150
"1016","rund","um",150
"1017","es","den",149
"1018","wünsche","euch",149
"1019","was","du",149
"1020","den","anderen",149
"1021","zur","zeit",149
"1022","war","eine",149
"1023","soll","die",149
"1024","zu","bringen",149
"1025","jahre","alt",149
"1026","in","einen",149
"1027","noch","im",148
"1028","und","am",148
"1029","und","ihr",148
"1030","genau","das",148
"1031","bis","heute",148
"1032","zu","wenig",148
"1033","und","einem",148
"1034","hat","in",148
"1035","es","gab",147
"1036","ja","die",147
"1037","angst","vor",147
"1038","den","ich",147
"1039","so","schön",147
"1040","es","das",147
"1041","der","nähe",147
"1042","es","auf",147
"1043","der","im",147
"1044","gerade","die",146
"1045","geht","das",146
"1046","war","nicht",146
"1047","die","eine",146
"1048","müssen","die",146
"1049","bei","euch",146
"1050","wo","ich",146
"1051","mehr","so",145
"1052","ist","sehr",145
"1053","der","suche",145
"1054","gut","und",145
"1055","ja","aber",145
"1056","war","er",145
"1057","für","seine",145
"1058","ich","hier",144
"1059","wird","und",144
"1060","die","möglichkeit",144
"1061","ja","mal",144
"1062","das","noch",144
"1063","ein","ganz",144
"1064","nicht","gut",144
"1065","aber","wenn",144
"1066","die","letzte",144
"1067","auch","hier",144
"1068","sehr","viel",144
"1069","der","deutsche",144
"1070","es","doch",143
"1071","bis","dahin",143
"1072","ich","zu",143
"1073","wünsche","ich",143
"1074","aber","wir",143
"1075","wird","auch",143
"1076","in","zukunft",143
"1077","an","sich",143
"1078","nicht","sein",143
"1079","ein","kleines",142
"1080","und","einer",142
"1081","diese","woche",142
"1082","aus","wie",142
"1083","wieder","die",142
"1084","wir","nicht",142
"1085","neben","dem",142
"1086","ich","bei",142
"1087","die","frau",142
"1088","wer","ist",142
"1089","ob","der",142
"1090","werden","sie",142
"1091","schon","vor",142
"1092","eine","woche",141
"1093","zu","kommen",141
"1094","das","eine",141
"1095","nach","oben",141
"1096","wenn","sich",141
"1097","der","mit",141
"1098","will","die",141
"1099","wird","ein",141
"1100","zwei","wochen",141
"1101","hat","auch",141
"1102","zu","bekommen",141
"1103","in","richtung",141
"1104","war","und",141
"1105","der","letzte",140
"1106","das","denn",140
"1107","der","hand",140
"1108","was","wir",140
"1109","aus","einer",140
"1110","zu","halten",140
"1111","doch","das",140
"1112","gut","dass",140
"1113","damit","die",140
"1114","wurde","die",140
"1115","vor","einer",140
"1116","immer","die",139
"1117","werden","das",139
"1118","der","anderen",139
"1119","du","dich",139
"1120","und","immer",139
"1121","nicht","ich",139
"1122","sie","ihre",139
"1123","ich","immer",139
"1124","mir","mal",139
"1125","der","regierung",139
"1126","und","dass",139
"1127","des","deutschen",139
"1128","er","habe",139
"1129","sich","eine",139
"1130","das","es",138
"1131","in","japan",138
"1132","wollen","die",138
"1133","bis","auf",138
"1134","aber","so",138
"1135","er","den",138
"1136","könnt","ihr",138
"1137","durch","eine",138
"1138","wird","sie",138
"1139","wir","können",137
"1140","kann","auch",137
"1141","aus","dass",137
"1142","er","war",137
"1143","die","nächsten",137
"1144","hatte","das",137
"1145","gar","nichts",137
"1146","heute","nicht",137
"1147","werden","in",137
"1148","habe","sich",137
"1149","dachte","ich",136
"1150","das","letzte",136
"1151","nicht","was",136
"1152","von","uns",136
"1153","mal","einen",136
"1154","nicht","alle",136
"1155","das","internet",136
"1156","gute","besserung",136
"1157","wird","er",136
"1158","hatten","die",136
"1159","auf","sich",136
"1160","nur","um",136
"1161","in","allen",136
"1162","zu","nehmen",136
"1163","der","fall",136
"1164","nicht","einfach",135
"1165","bei","twitter",135
"1166","nicht","und",135
"1167","zu","hören",135
"1168","der","film",135
"1169","wie","sich",135
"1170","doch","schon",135
"1171","nicht","den",135
"1172","wohl","auch",135
"1173","wie","lange",135
"1174","zu","mir",135
"1175","in","diesen",135
"1176","die","spd",134
"1177","noch","vor",134
"1178","da","bin",134
"1179","so","jetzt",134
"1180","sich","ja",134
"1181","im","bett",134
"1182","ich","an",134
"1183","er","auch",134
"1184","wurde","der",134
"1185","aber","sie",134
"1186","dem","die",134
"1187","der","eu",134
"1188","die","er",134
"1189","allem","die",134
"1190","zehn","jahren",134
"1191","auf","diese",134
"1192","wurden","die",134
"1193","ist","von",133
"1194","ich","für",133
"1195","soll","der",133
"1196","sich","aus",133
"1197","auch","gut",133
"1198","und","habe",133
"1199","muss","das",133
"1200","wie","im",133
"1201","was","zu",133
"1202","was","macht",133
"1203","nicht","alles",133
"1204","danke","an",133
"1205","die","cdu",133
"1206","an","dieser",133
"1207","der","vergangenen",133
"1208","dir","auch",132
"1209","die","woche",132
"1210","was","es",132
"1211","aber","ein",132
"1212","ist","als",132
"1213","endlich","wieder",132
"1214","nicht","als",132
"1215","es","der",132
"1216","nach","berlin",132
"1217","das","nächste",132
"1218","denen","die",132
"1219","die","entscheidung",132
"1220","mit","ihm",131
"1221","muss","sich",131
"1222","du","mir",131
"1223","der","einzige",131
"1224","wir","mal",131
"1225","das","jetzt",131
"1226","doch","der",131
"1227","der","großen",131
"1228","wieder","mit",131
"1229","die","politik",131
"1230","als","in",131
"1231","dann","wird",131
"1232","hatte","er",131
"1233","die","haben",130
"1234","darf","ich",130
"1235","man","ja",130
"1236","wird","von",130
"1237","gemeinsam","mit",130
"1238","fühlt","sich",130
"1239","kann","der",130
"1240","auch","keine",130
"1241","dabei","ist",130
"1242","haben","das",130
"1243","das","ein",130
"1244","die","bahn",130
"1245","mit","blick",130
"1246","dass","ihr",130
"1247","mit","ihrer",130
"1248","wird","man",130
"1249","ein","sehr",130
"1250","dass","in",130
"1251","für","ihn",130
"1252","zu","beginn",130
"1253","eine","weitere",130
"1254","und","des",130
"1255","tag","der",129
"1256","viel","mehr",129
"1257","jetzt","die",129
"1258","sieht","man",129
"1259","auf","meinem",129
"1260","und","alles",129
"1261","aus","einem",129
"1262","ist","echt",129
"1263","so","der",129
"1264","schon","so",129
"1265","alles","andere",129
"1266","den","kommenden",129
"1267","die","linke",129
"1268","am","liebsten",129
"1269","durch","einen",129
"1270","die","drei",129
"1271","dann","in",128
